execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
2.40438,3,224,224,7,7,2,2,2,2,64,112,112,
0.19492,64,56,56,1,1,1,1,0,0,64,56,56,
12.5281,64,56,56,3,3,1,1,1,1,192,56,56,
0.037278,192,28,28,1,1,1,1,0,0,16,28,28,
0.141004,16,28,28,5,5,1,1,2,2,32,28,28,
0.210485,192,28,28,1,1,1,1,0,0,96,28,28,
3.63502,96,28,28,3,3,1,1,1,1,128,28,28,
0.145135,192,28,28,1,1,1,1,0,0,64,28,28,
0.090621,192,28,28,1,1,1,1,0,0,32,28,28,
0.211778,256,28,28,1,1,1,1,0,0,64,28,28,
0.090867,256,28,28,1,1,1,1,0,0,32,28,28,
1.81231,32,28,28,5,5,1,1,2,2,96,28,28,
0.635672,256,28,28,1,1,1,1,0,0,128,28,28,
11.5434,128,28,28,3,3,1,1,1,1,192,28,28,
0.67608,256,28,28,1,1,1,1,0,0,128,28,28,
0.105886,480,14,14,1,1,1,1,0,0,64,14,14,
0.023215,480,14,14,1,1,1,1,0,0,16,14,14,
0.05098,16,14,14,5,5,1,1,2,2,48,14,14,
0.233172,480,14,14,1,1,1,1,0,0,96,14,14,
0.935425,96,14,14,3,3,1,1,1,1,204,14,14,
0.677114,480,14,14,1,1,1,1,0,0,192,14,14,
0.036,508,4,4,1,1,1,1,0,0,128,4,4,
2.33752,3,224,224,7,7,2,2,2,2,64,112,112,
0.198893,64,56,56,1,1,1,1,0,0,64,56,56,
13.1701,64,56,56,3,3,1,1,1,1,192,56,56,
0.034647,192,28,28,1,1,1,1,0,0,16,28,28,
0.1542,16,28,28,5,5,1,1,2,2,32,28,28,
0.199445,192,28,28,1,1,1,1,0,0,96,28,28,
4.38882,96,28,28,3,3,1,1,1,1,128,28,28,
0.146372,192,28,28,1,1,1,1,0,0,64,28,28,
0.078548,192,28,28,1,1,1,1,0,0,32,28,28,
0.201033,256,28,28,1,1,1,1,0,0,64,28,28,
0.097972,256,28,28,1,1,1,1,0,0,32,28,28,
1.72896,32,28,28,5,5,1,1,2,2,96,28,28,
0.629444,256,28,28,1,1,1,1,0,0,128,28,28,
12.3571,128,28,28,3,3,1,1,1,1,192,28,28,
0.654745,256,28,28,1,1,1,1,0,0,128,28,28,
0.107931,480,14,14,1,1,1,1,0,0,64,14,14,
0.023501,480,14,14,1,1,1,1,0,0,16,14,14,
0.058668,16,14,14,5,5,1,1,2,2,48,14,14,
0.237607,480,14,14,1,1,1,1,0,0,96,14,14,
0.929148,96,14,14,3,3,1,1,1,1,204,14,14,
0.528712,480,14,14,1,1,1,1,0,0,192,14,14,
0.077151,508,4,4,1,1,1,1,0,0,128,4,4,
2.35895,3,224,224,7,7,2,2,2,2,64,112,112,
0.193933,64,56,56,1,1,1,1,0,0,64,56,56,
12.8945,64,56,56,3,3,1,1,1,1,192,56,56,
0.041524,192,28,28,1,1,1,1,0,0,16,28,28,
0.148731,16,28,28,5,5,1,1,2,2,32,28,28,
0.24535,192,28,28,1,1,1,1,0,0,96,28,28,
4.72828,96,28,28,3,3,1,1,1,1,128,28,28,
0.147599,192,28,28,1,1,1,1,0,0,64,28,28,
0.069816,192,28,28,1,1,1,1,0,0,32,28,28,
0.205729,256,28,28,1,1,1,1,0,0,64,28,28,
0.092167,256,28,28,1,1,1,1,0,0,32,28,28,
