Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,310000,1,52,2,8,2,1200888,7,8,
101,310000,102,0,105,27,106,1200888,110,27,
201,310000,202,0,203,23,204,1201012,208,21,
302,310000,303,0,304,12,304,1201012,309,13,
402,310000,403,0,404,11,404,1201000,411,13,
502,400000,503,0,504,33,504,1196700,508,30,
603,400000,603,0,604,7,605,1196700,609,7,
703,400000,704,0,705,7,705,1196708,709,6,
803,310000,804,0,805,7,806,1191364,809,7,
904,400000,904,0,905,7,906,1191364,910,5,
1004,400000,1005,0,1006,9,1006,1191364,1010,10,
1054,310000,1055,0,1056,5,1056,1191364,1060,5,
1155,310000,1156,0,1157,5,1158,1191288,1164,3,
1255,310000,1256,0,1257,7,1258,1191088,1264,4,
1355,310000,1356,0,1357,2,1358,1191212,1373,3,
1456,310000,1456,0,1458,15,1459,1191236,1464,9,
1556,310000,1557,0,1558,5,1559,1191236,1564,3,
1656,310000,1657,0,1659,22,1659,1191708,1667,17,
1757,400000,1757,0,1758,37,1759,1191432,1763,37,
1857,400000,1858,0,1859,28,1860,1191556,1870,25,
1958,400000,1959,0,1960,21,1961,1191676,1974,14,
2058,310000,2059,0,2060,10,2061,1191676,2067,7,
2158,310000,2159,0,2160,5,2161,1191676,2167,3,
2259,310000,2259,0,2261,5,2262,1191676,2269,3,
2359,400000,2360,0,2361,17,2362,1189376,2368,12,
2459,310000,2460,0,2461,7,2462,1189376,2468,5,
2559,310000,2562,0,2563,30,2564,1189492,2572,28,
2660,310000,2661,0,2662,35,2662,1190208,2670,31,
2760,310000,2761,0,2762,24,2762,1190208,2768,24,
2861,400000,2861,43,2862,28,2863,1188232,2871,29,
2961,400000,2962,43,2963,22,2964,1188232,2970,23,
3061,310000,3062,43,3063,10,3064,1188232,3070,13,
3161,310000,3162,0,3163,19,3164,1188380,3169,15,
3262,310000,3262,0,3266,30,3266,1188620,3276,29,
3362,310000,3363,0,3364,27,3365,1192332,3374,31,
3462,310000,3463,0,3464,29,3465,1193076,3469,27,
3563,310000,3563,0,3565,21,3566,1193000,3571,20,
3663,310000,3664,0,3665,26,3665,1191800,3671,27,
3763,310000,3764,0,3765,20,3766,1191124,3770,18,
3864,310000,3865,0,3866,24,3867,1191452,3873,20,
3964,310000,3965,0,3966,17,3967,1191948,3972,15,
4064,310000,4066,0,4068,19,4069,1192196,4080,14,
4165,310000,4166,0,4168,35,4170,1190784,4177,23,
4268,310000,4270,0,4272,23,4273,1191032,4279,15,
4367,310000,4370,44,4373,25,4374,1191504,4381,18,
4468,310000,4470,44,4472,16,4473,1192248,4479,9,
