execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
0.190191,3,224,224,7,7,2,2,2,2,64,112,112,
0.01199,64,56,56,1,1,1,1,0,0,64,56,56,
0.042279,64,56,56,3,3,1,1,1,1,192,56,56,
0.012341,192,28,28,1,1,1,1,0,0,16,28,28,
0.008232,16,28,28,5,5,1,1,2,2,32,28,28,
0.01082,192,28,28,1,1,1,1,0,0,96,28,28,
0.01658,96,28,28,3,3,1,1,1,1,128,28,28,
0.009151,192,28,28,1,1,1,1,0,0,64,28,28,
0.00402,192,28,28,1,1,1,1,0,0,32,28,28,
0.007617,256,28,28,1,1,1,1,0,0,64,28,28,
0.00609,256,28,28,1,1,1,1,0,0,32,28,28,
0.011029,32,28,28,5,5,1,1,2,2,96,28,28,
0.012275,256,28,28,1,1,1,1,0,0,128,28,28,
0.046578,128,28,28,3,3,1,1,1,1,192,28,28,
0.010152,256,28,28,1,1,1,1,0,0,128,28,28,
0.008005,480,14,14,1,1,1,1,0,0,64,14,14,
0.00486,480,14,14,1,1,1,1,0,0,16,14,14,
0.005176,16,14,14,5,5,1,1,2,2,48,14,14,
0.007773,480,14,14,1,1,1,1,0,0,96,14,14,
0.011404,96,14,14,3,3,1,1,1,1,204,14,14,
0.011204,480,14,14,1,1,1,1,0,0,192,14,14,
0.008401,508,4,4,1,1,1,1,0,0,128,4,4,
0.023132,3,224,224,7,7,2,2,2,2,64,112,112,
0.006628,64,56,56,1,1,1,1,0,0,64,56,56,
0.03173,64,56,56,3,3,1,1,1,1,192,56,56,
0.006424,192,28,28,1,1,1,1,0,0,16,28,28,
0.003046,16,28,28,5,5,1,1,2,2,32,28,28,
0.004971,192,28,28,1,1,1,1,0,0,96,28,28,
0.011623,96,28,28,3,3,1,1,1,1,128,28,28,
0.005176,192,28,28,1,1,1,1,0,0,64,28,28,
0.007677,192,28,28,1,1,1,1,0,0,32,28,28,
0.006321,256,28,28,1,1,1,1,0,0,64,28,28,
0.004214,256,28,28,1,1,1,1,0,0,32,28,28,
0.011366,32,28,28,5,5,1,1,2,2,96,28,28,
0.004697,256,28,28,1,1,1,1,0,0,128,28,28,
0.021338,128,28,28,3,3,1,1,1,1,192,28,28,
0.006437,256,28,28,1,1,1,1,0,0,128,28,28,
0.004627,480,14,14,1,1,1,1,0,0,64,14,14,
0.00788,480,14,14,1,1,1,1,0,0,16,14,14,
0.003041,16,14,14,5,5,1,1,2,2,48,14,14,
0.003892,480,14,14,1,1,1,1,0,0,96,14,14,
0.006721,96,14,14,3,3,1,1,1,1,204,14,14,
0.010232,480,14,14,1,1,1,1,0,0,192,14,14,
0.003639,508,4,4,1,1,1,1,0,0,128,4,4,
0.038852,3,224,224,7,7,2,2,2,2,64,112,112,
0.013581,64,56,56,1,1,1,1,0,0,64,56,56,
0.028402,64,56,56,3,3,1,1,1,1,192,56,56,
0.005948,192,28,28,1,1,1,1,0,0,16,28,28,
0.003014,16,28,28,5,5,1,1,2,2,32,28,28,
0.00901,192,28,28,1,1,1,1,0,0,96,28,28,
0.008872,96,28,28,3,3,1,1,1,1,128,28,28,
0.004783,192,28,28,1,1,1,1,0,0,64,28,28,
0.006372,192,28,28,1,1,1,1,0,0,32,28,28,
0.007269,256,28,28,1,1,1,1,0,0,64,28,28,
0.00618,256,28,28,1,1,1,1,0,0,32,28,28,
0.007254,32,28,28,5,5,1,1,2,2,96,28,28,
0.012098,256,28,28,1,1,1,1,0,0,128,28,28,
0.018519,128,28,28,3,3,1,1,1,1,192,28,28,
0.009623,256,28,28,1,1,1,1,0,0,128,28,28,
0.004981,480,14,14,1,1,1,1,0,0,64,14,14,
0.003741,480,14,14,1,1,1,1,0,0,16,14,14,
0.005461,16,14,14,5,5,1,1,2,2,48,14,14,
0.004006,480,14,14,1,1,1,1,0,0,96,14,14,
0.008793,96,14,14,3,3,1,1,1,1,204,14,14,
0.008192,480,14,14,1,1,1,1,0,0,192,14,14,
0.003007,508,4,4,1,1,1,1,0,0,128,4,4,
0.019983,3,224,224,7,7,2,2,2,2,64,112,112,
0.00494,64,56,56,1,1,1,1,0,0,64,56,56,
0.033657,64,56,56,3,3,1,1,1,1,192,56,56,
0.004729,192,28,28,1,1,1,1,0,0,16,28,28,
0.002978,16,28,28,5,5,1,1,2,2,32,28,28,
0.0048,192,28,28,1,1,1,1,0,0,96,28,28,
0.011841,96,28,28,3,3,1,1,1,1,128,28,28,
0.003927,192,28,28,1,1,1,1,0,0,64,28,28,
0.004332,192,28,28,1,1,1,1,0,0,32,28,28,
0.004613,256,28,28,1,1,1,1,0,0,64,28,28,
0.005047,256,28,28,1,1,1,1,0,0,32,28,28,
0.010701,32,28,28,5,5,1,1,2,2,96,28,28,
0.006232,256,28,28,1,1,1,1,0,0,128,28,28,
0.019289,128,28,28,3,3,1,1,1,1,192,28,28,
0.012487,256,28,28,1,1,1,1,0,0,128,28,28,
0.003836,480,14,14,1,1,1,1,0,0,64,14,14,
0.003924,480,14,14,1,1,1,1,0,0,16,14,14,
0.002755,16,14,14,5,5,1,1,2,2,48,14,14,
0.003667,480,14,14,1,1,1,1,0,0,96,14,14,
0.00752,96,14,14,3,3,1,1,1,1,204,14,14,
0.008995,480,14,14,1,1,1,1,0,0,192,14,14,
0.003205,508,4,4,1,1,1,1,0,0,128,4,4,
0.027788,3,224,224,7,7,2,2,2,2,64,112,112,
0.007449,64,56,56,1,1,1,1,0,0,64,56,56,
0.020166,64,56,56,3,3,1,1,1,1,192,56,56,
0.005073,192,28,28,1,1,1,1,0,0,16,28,28,
0.004009,16,28,28,5,5,1,1,2,2,32,28,28,
0.004651,192,28,28,1,1,1,1,0,0,96,28,28,
0.007012,96,28,28,3,3,1,1,1,1,128,28,28,
0.005957,192,28,28,1,1,1,1,0,0,64,28,28,
0.003759,192,28,28,1,1,1,1,0,0,32,28,28,
0.005302,256,28,28,1,1,1,1,0,0,64,28,28,
0.006031,256,28,28,1,1,1,1,0,0,32,28,28,
0.005865,32,28,28,5,5,1,1,2,2,96,28,28,
0.00497,256,28,28,1,1,1,1,0,0,128,28,28,
0.006097,128,28,28,3,3,1,1,1,1,192,28,28,
0.00621,256,28,28,1,1,1,1,0,0,128,28,28,
0.004169,480,14,14,1,1,1,1,0,0,64,14,14,
0.003138,480,14,14,1,1,1,1,0,0,16,14,14,
0.004894,16,14,14,5,5,1,1,2,2,48,14,14,
0.003155,480,14,14,1,1,1,1,0,0,96,14,14,
0.004568,96,14,14,3,3,1,1,1,1,204,14,14,
0.004524,480,14,14,1,1,1,1,0,0,192,14,14,
0.003252,508,4,4,1,1,1,1,0,0,128,4,4,
0.148994,3,224,224,7,7,2,2,2,2,64,112,112,
0.009901,64,56,56,1,1,1,1,0,0,64,56,56,
0.034254,64,56,56,3,3,1,1,1,1,192,56,56,
0.01358,192,28,28,1,1,1,1,0,0,16,28,28,
0.006604,16,28,28,5,5,1,1,2,2,32,28,28,
0.007679,192,28,28,1,1,1,1,0,0,96,28,28,
0.016293,96,28,28,3,3,1,1,1,1,128,28,28,
0.014826,192,28,28,1,1,1,1,0,0,64,28,28,
0.006552,192,28,28,1,1,1,1,0,0,32,28,28,
0.007037,256,28,28,1,1,1,1,0,0,64,28,28,
0.004405,256,28,28,1,1,1,1,0,0,32,28,28,
0.014307,32,28,28,5,5,1,1,2,2,96,28,28,
0.010995,256,28,28,1,1,1,1,0,0,128,28,28,
0.023925,128,28,28,3,3,1,1,1,1,192,28,28,
0.009095,256,28,28,1,1,1,1,0,0,128,28,28,
0.009367,480,14,14,1,1,1,1,0,0,64,14,14,
0.004919,480,14,14,1,1,1,1,0,0,16,14,14,
0.004761,16,14,14,5,5,1,1,2,2,48,14,14,
0.007114,480,14,14,1,1,1,1,0,0,96,14,14,
0.011647,96,14,14,3,3,1,1,1,1,204,14,14,
0.005751,480,14,14,1,1,1,1,0,0,192,14,14,
0.009313,508,4,4,1,1,1,1,0,0,128,4,4,
0.020326,3,224,224,7,7,2,2,2,2,64,112,112,
0.006341,64,56,56,1,1,1,1,0,0,64,56,56,
0.035393,64,56,56,3,3,1,1,1,1,192,56,56,
0.008346,192,28,28,1,1,1,1,0,0,16,28,28,
0.003251,16,28,28,5,5,1,1,2,2,32,28,28,
0.0051,192,28,28,1,1,1,1,0,0,96,28,28,
0.012058,96,28,28,3,3,1,1,1,1,128,28,28,
0.00529,192,28,28,1,1,1,1,0,0,64,28,28,
0.00372,192,28,28,1,1,1,1,0,0,32,28,28,
0.007218,256,28,28,1,1,1,1,0,0,64,28,28,
0.005657,256,28,28,1,1,1,1,0,0,32,28,28,
0.010087,32,28,28,5,5,1,1,2,2,96,28,28,
0.00797,256,28,28,1,1,1,1,0,0,128,28,28,
0.018297,128,28,28,3,3,1,1,1,1,192,28,28,
0.013077,256,28,28,1,1,1,1,0,0,128,28,28,
0.003423,480,14,14,1,1,1,1,0,0,64,14,14,
0.004109,480,14,14,1,1,1,1,0,0,16,14,14,
0.00325,16,14,14,5,5,1,1,2,2,48,14,14,
0.0033,480,14,14,1,1,1,1,0,0,96,14,14,
0.006248,96,14,14,3,3,1,1,1,1,204,14,14,
0.005853,480,14,14,1,1,1,1,0,0,192,14,14,
0.006359,508,4,4,1,1,1,1,0,0,128,4,4,
0.029884,3,224,224,7,7,2,2,2,2,64,112,112,
0.010393,64,56,56,1,1,1,1,0,0,64,56,56,
0.0321,64,56,56,3,3,1,1,1,1,192,56,56,
0.009094,192,28,28,1,1,1,1,0,0,16,28,28,
0.005408,16,28,28,5,5,1,1,2,2,32,28,28,
0.009122,192,28,28,1,1,1,1,0,0,96,28,28,
0.014768,96,28,28,3,3,1,1,1,1,128,28,28,
0.004923,192,28,28,1,1,1,1,0,0,64,28,28,
0.00505,192,28,28,1,1,1,1,0,0,32,28,28,
0.007956,256,28,28,1,1,1,1,0,0,64,28,28,
0.005272,256,28,28,1,1,1,1,0,0,32,28,28,
0.012461,32,28,28,5,5,1,1,2,2,96,28,28,
0.005249,256,28,28,1,1,1,1,0,0,128,28,28,
0.018893,128,28,28,3,3,1,1,1,1,192,28,28,
0.008842,256,28,28,1,1,1,1,0,0,128,28,28,
0.005075,480,14,14,1,1,1,1,0,0,64,14,14,
