Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
0,14,1,1066000,3,3399736,31567.5169082126,6,0,
99,0,100,1170000,101,3399376,31207.5169082126,106,0,
198,87,198,1066000,199,3404472,36303.5169082126,208,13,
298,22,299,1170000,299,3415192,47023.5169082126,307,8,
398,0,399,1066000,399,3415412,47243.5169082126,404,4,
499,87,499,1170000,500,3428520,60351.5169082126,508,20,
599,27,600,754000,600,3445136,76967.5169082126,608,15,
701,0,702,962000,703,3458108,89939.5169082126,715,14,
801,31,801,754000,802,3462532,94363.5169082126,806,11,
900,19,901,1378000,901,3467492,99323.5169082126,906,9,
1000,23,1001,1586000,1002,3475428,107259.516908213,1011,15,
1102,28,1103,1274000,1104,3479164,110995.516908213,1123,16,
1203,10,1203,1274000,1205,3480156,111987.516908213,1221,6,
1303,6,1304,1274000,1305,3480156,111987.516908213,1321,4,
1403,6,1404,1274000,1405,3480156,111987.516908213,1422,4,
1504,11,1505,1274000,1506,3480760,112591.516908213,1522,6,
1604,9,1605,1274000,1606,3481008,112839.516908213,1623,5,
1705,11,1706,1274000,1707,3481256,113087.516908213,1723,6,
1806,8,1806,1274000,1807,3481504,113335.516908213,1815,4,
1905,15,1906,1274000,1906,3481752,113583.516908213,1914,6,
2006,24,2006,858000,2007,3482300,114131.516908213,2016,11,
2106,87,2107,858000,2107,3486100,117931.516908213,2115,56,
2206,34,2207,858000,2207,3490812,122643.516908213,2213,22,
2307,41,2307,858000,2307,3494100,125931.516908213,2312,31,
2407,0,2407,754000,2407,3493216,125047.516908213,2411,7,
2508,6,2509,442000,2509,3493096,124927.516908213,2514,2,
2608,10,2608,754000,2609,3493220,125051.516908213,2614,3,
2708,25,2709,1170000,2709,3490260,122091.516908213,2715,10,
2809,22,2809,1170000,2809,3492832,124663.516908213,2815,12,
2912,13,2913,442000,2916,3493244,125075.516908213,2943,4,
3011,30,3013,650000,3015,3493988,125819.516908213,3040,15,
3112,19,3113,858000,3114,3490880,122711.516908213,3137,6,
3214,23,3216,442000,3218,3490880,122711.516908213,3249,7,
3315,22,3316,442000,3318,3491624,123455.516908213,3351,7,
3414,28,3414,1170000,3415,3491016,122847.516908213,3443,13,
3517,15,3518,442000,3520,3491056,122887.516908213,3550,5,
3618,87,3619,754000,3619,3491304,123135.516908213,3629,7,
3718,6,3719,1066000,3719,3491800,123631.516908213,3729,2,
3818,32,3819,1170000,3820,3495648,127479.516908213,3830,18,
3919,36,3919,1274000,3920,3494920,126751.516908213,3928,21,
4019,21,4020,1066000,4021,3495168,126999.516908213,4030,12,
4122,0,4123,1066000,4125,3494868,126699.516908213,4150,13,
4221,25,4222,1274000,4223,3495116,126947.516908213,4240,13,
4323,23,4325,858000,4326,3496608,128439.516908213,4353,11,
4425,25,4426,442000,4429,3511488,143319.516908213,4458,13,
