Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
0,14,2,1066000,3,3436928,0,6,0
101,36,102,1170000,104,3438232,0,134,0
202,38,204,1170000,206,3440076,0,218,18
301,88,302,1066000,303,3441620,0,312,12
403,0,403,1066000,404,3441944,0,409,8
502,10,503,754000,503,3442192,0,509,4
603,10,603,754000,604,3442192,0,609,3
703,11,704,754000,704,3442172,0,709,4
803,20,804,754000,805,3442420,0,810,7
904,5,904,754000,905,3442420,0,910,2
1004,3,1005,754000,1005,3442420,0,1011,1
1108,6,1110,858000,1113,3442668,0,1140,2
1210,14,1213,546000,1217,3442668,0,1251,5
1312,22,1315,442000,1320,3442472,0,1359,8
1412,17,1415,650000,1418,3442472,0,1447,6
1511,20,1512,1066000,1515,3442720,0,1534,7
1615,15,1618,442000,1622,3442720,0,1657,6
1713,16,1714,962000,1717,3442792,0,1746,6
1817,18,1820,442000,1826,3441904,0,1858,5
1915,20,1917,962000,1919,3442152,0,1957,9
2019,24,2024,442000,2028,3442152,0,2067,10
2117,33,2118,1066000,2120,3442648,0,2156,12
2217,25,2218,1378000,2220,3441908,0,2246,14
2322,10,2325,442000,2329,3441908,0,2364,3
2424,12,2427,442000,2431,3441908,0,2465,3
2522,18,2523,858000,2525,3441908,0,2551,7
2625,17,2627,546000,2631,3442156,0,2665,5
2726,15,2729,442000,2733,3442048,0,2772,6
2824,28,2825,858000,2826,3442048,0,2833,8
2925,8,2925,442000,2926,3442296,0,2934,3
3025,88,3025,1170000,3026,3443288,0,3035,17
3125,38,3125,858000,3126,3442136,0,3132,22
3225,42,3225,1066000,3226,3444540,31.1737089204,3231,32
3326,0,3326,754000,3327,3443936,0,3332,3
3426,3,3427,754000,3427,3444184,0,3432,1
3526,5,3527,754000,3528,3444184,0,3533,2
3627,11,3627,754000,3628,3444452,0,3633,4
3728,88,3728,962000,3729,3445848,1339.1737089204,3737,27
3830,0,3831,962000,3833,3448304,3795.1737089204,3856,14
3930,23,3931,1170000,3933,3449048,4539.1737089204,3959,14
4031,42,4032,1586000,4033,3452128,7619.1737089204,4052,26
4132,18,4133,1586000,4134,3453120,8611.1737089204,4157,10
4234,14,4236,442000,4238,3453616,9107.1737089204,4269,10
4334,22,4335,962000,4337,3453864,9355.1737089204,4363,8
4435,17,4436,1170000,4437,3454360,9851.1737089204,4448,9
4534,88,4535,1170000,4536,3453288,8779.1737089204,4547,12
4637,37,4638,1066000,4643,3455664,11155.1737089204,4654,20
4735,35,4736,1170000,4737,3456736,12227.1737089204,4745,16
4836,14,4836,1066000,4837,3457248,12739.1737089204,4848,7
4938,0,4939,1066000,4940,3457144,12635.1737089204,4980,13
5038,25,5039,1274000,5041,3456012,11503.1737089204,5058,14
5141,13,5143,442000,5146,3456756,12247.1737089204,5189,7
5242,37,5243,1274000,5244,3464196,19687.1737089204,5268,19
5345,16,5346,442000,5349,3463408,18899.1737089204,5384,5
5444,21,5445,1066000,5446,3463904,19395.1737089204,5474,8
5545,31,5546,1274000,5547,3462724,18215.1737089204,5573,15
5647,18,5649,442000,5651,3462764,18255.1737089204,5679,6
5750,23,5752,442000,5754,3463200,18691.1737089204,5781,8
5851,22,5853,442000,5855,3463448,18939.1737089204,5895,8
5952,26,5953,442000,5956,3463448,18939.1737089204,5985,10
6050,33,6051,1170000,6053,3462712,18203.1737089204,6069,14
6152,16,6153,754000,6155,3462712,18203.1737089204,6176,7
6254,23,6256,442000,6258,3462960,18451.1737089204,6285,7
6353,17,6354,1066000,6355,3463200,18691.1737089204,6374,8
6453,13,6453,754000,6454,3463448,18939.1737089204,6464,7
6554,26,6554,754000,6555,3461364,16855.1737089204,6561,8
6653,87,6653,1170000,6654,3465292,20783.1737089204,6659,24
6754,41,6754,1066000,6754,3473296,28787.1737089204,6759,73
6854,37,6854,1066000,6855,3518188,73679.1737089204,6861,30
6955,33,6956,1066000,6956,3610544,166035.17370892,6967,29
7055,42,7056,1170000,7056,3609904,165395.17370892,7075,31
7155,42,7155,754000,7156,3603836,159327.17370892,7161,35
7255,50,7256,1170000,7256,3582932,138423.17370892,7283,38
7356,25,7356,754000,7357,3610228,165719.17370892,7370,21
7456,31,7456,754000,7456,3598864,154355.17370892,7461,24
7556,28,7556,858000,7557,3578500,133991.17370892,7561,23
7658,0,7658,1170000,7660,3569184,124675.17370892,7674,13
7758,41,7759,1274000,7761,3576032,131523.17370892,7779,26
7860,67,7862,1586000,7864,3569076,124567.17370892,7881,38
7960,52,7961,1586000,7962,3570168,125659.17370892,7977,34
8061,23,8061,1586000,8062,3582304,137795.17370892,8077,13
8161,25,8162,1586000,8163,3586540,142031.17370892,8180,14
8262,38,8262,1586000,8264,3581952,137443.17370892,8278,25
8362,30,8363,1586000,8364,3579728,135219.17370892,8379,22
8462,20,8463,1586000,8464,3581696,137187.17370892,8480,13
8563,25,8564,1586000,8565,3512200,67691.1737089204,8578,18
8663,25,8664,1586000,8665,3514540,70031.1737089204,8681,18
8764,28,8764,1586000,8765,3525948,81439.1737089204,8780,18
8864,38,8865,1586000,8867,3529024,84515.1737089204,8881,26
8965,25,8966,1586000,8967,3533004,88495.1737089204,8982,19
9065,20,9066,1586000,9067,3533748,89239.1737089204,9081,14
9166,33,9166,1586000,9168,3534400,89891.1737089204,9182,23
9266,28,9267,1586000,9268,3534056,89547.1737089204,9282,19
9367,19,9368,1586000,9369,3532400,87891.1737089204,9385,17
9468,26,9468,1586000,9469,3525536,81027.1737089204,9484,17
9568,28,9569,1586000,9570,3528468,83959.1737089204,9587,20
9669,25,9670,962000,9673,3528964,84455.1737089204,9690,16
9769,30,9770,1378000,9771,3533516,89007.1737089204,9786,18
9870,23,9871,1586000,9873,3532432,87923.1737089204,9887,16
9971,37,9971,1586000,9972,3535664,91155.1737089204,9987,22
10071,25,10072,1586000,10073,3535212,90703.1737089204,10091,18
10171,21,10172,1586000,10173,3535956,91447.1737089204,10188,15
10272,32,10273,1586000,10274,3537336,92827.1737089204,10289,22
10372,34,10373,1586000,10374,3535812,91303.1737089204,10387,25
10473,22,10474,1586000,10475,3530604,86095.1737089204,10491,13
10573,20,10574,1586000,10575,3530756,86247.1737089204,10588,13
10676,32,10676,1586000,10678,3536048,91539.1737089204,10692,23
10776,37,10777,1586000,10778,3536544,92035.1737089204,10796,25
10877,29,10878,1586000,10879,3535168,90659.1737089204,10896,22
10977,31,10978,1586000,10979,3535416,90907.1737089204,10993,23
11078,28,11078,1586000,11079,3535332,90823.1737089204,11094,21
11178,26,11179,1586000,11180,3536076,91567.1737089204,11194,19
11278,40,11278,1378000,11279,3536572,92063.1737089204,11284,20
11378,3,11379,1586000,11379,3536572,92063.1737089204,11385,1
11479,88,11479,1586000,11480,3542376,97867.1737089204,11488,36
11579,44,11580,1586000,11581,3563364,118855.17370892,11587,33
11680,0,11680,1586000,11681,3564512,120003.17370892,11685,14
11780,36,11781,1586000,11781,3565016,120507.17370892,11786,21
11881,36,11881,1586000,11882,3566008,121499.17370892,11887,22
11981,37,11981,1586000,11982,3562100,117591.17370892,11986,22
12081,18,12081,858000,12082,3561760,117251.17370892,12087,10
12181,3,12182,754000,12182,3560724,116215.17370892,12187,1
12282,27,12282,1170000,12283,3566600,122091.17370892,12287,10
12383,39,12384,1586000,12385,3556456,111947.17370892,12395,24
12484,34,12485,1274000,12486,3554716,110207.17370892,12494,16
12585,22,12586,1066000,12587,3554796,110287.17370892,12594,8
12685,30,12685,1066000,12686,3555236,110727.17370892,12692,12
12785,88,12785,1586000,12786,3404376,0,12794,44
12885,42,12886,1378000,12886,3404304,0,12894,26
12986,46,12986,962000,12987,3402348,0,12994,29
13086,46,13086,858000,13087,3408928,0,13091,36
13186,35,13187,1378000,13187,3414560,0,13193,28
13287,0,13287,858000,13288,3419440,0,13292,13
13389,29,13389,858000,13390,3418088,0,13399,15
13490,46,13491,1378000,13492,3421224,0,13502,20
13590,36,13591,1586000,13592,3423856,0,13602,17
13691,20,13692,754000,13693,3423980,0,13703,5
13791,11,13792,754000,13793,3424508,0,13801,3
13892,21,13892,962000,13893,3425252,0,13905,5
13992,88,13993,754000,13994,3423808,0,14002,14
14093,43,14093,962000,14094,3426784,0,14102,27
14193,35,14194,962000,14195,3427280,0,14204,21
14295,0,14295,1170000,14296,3427412,0,14301,12
14396,35,14397,1170000,14398,3425540,0,14405,17
14496,33,14497,962000,14498,3426036,0,14505,15
14596,25,14597,962000,14598,3426544,0,14604,12
14697,88,14699,1170000,14701,3430172,0,14709,15
14799,0,14806,1170000,14807,3432644,0,14829,17
14901,33,14902,546000,14904,3433372,0,14932,13
14999,41,15001,1378000,15003,3431696,0,15022,25
15101,26,15102,650000,15104,3432116,0,15128,13
15203,26,15205,754000,15206,3432860,0,15227,10
15304,14,15306,546000,15308,3433356,0,15334,5
15404,24,15405,858000,15407,3433852,0,15428,9
15505,18,15506,1170000,15507,3430892,0,15528,10
15607,10,15607,1170000,15609,3431388,0,15629,7
15708,12,15710,442000,15712,3431760,0,15736,6
15809,16,15810,962000,15813,3432184,0,15833,8
15908,15,15909,1170000,15911,3432928,0,15930,5
16009,20,16010,1274000,16012,3430860,0,16029,14
16111,15,16112,858000,16113,3431356,0,16135,5
16213,20,16214,1066000,16216,3431812,0,16235,8
16311,17,16312,1378000,16314,3432060,0,16331,10
16419,8,16422,442000,16424,3432804,0,16454,4
16515,25,16517,442000,16520,3430784,0,16543,11
16564,31,16565,858000,16567,3430784,0,16586,9
16664,12,16665,1170000,16667,3431192,0,16688,6
16765,17,16766,1066000,16767,3431564,0,16784,7
16865,18,16866,1170000,16867,3431812,0,16884,9
16966,20,16967,1378000,16968,3430584,0,16984,11
17066,15,17067,1170000,17069,3431080,0,17086,9
17167,16,17168,1170000,17169,3431576,0,17187,9
17268,15,17269,858000,17271,3432072,0,17292,7
17368,24,17369,1066000,17371,3432320,0,17388,10
17469,23,17470,1170000,17471,3430596,0,17488,10
17570,13,17571,1170000,17572,3430844,0,17589,7
17671,18,17672,1170000,17673,3431064,0,17690,9
17772,12,17773,858000,17775,3431672,0,17794,5
17873,13,17874,858000,17875,3432168,0,17906,5
17974,37,17975,1378000,17976,3430544,0,17994,21
18074,32,18075,1378000,18076,3427588,0,18093,20
18174,12,18175,1170000,18176,3427848,0,18193,6
18275,12,18276,1170000,18277,3428592,0,18294,7
18376,13,18377,1170000,18378,3428840,0,18395,7
18476,19,18477,1170000,18478,3427216,0,18495,10
18577,10,18577,1170000,18579,3427464,0,18595,5
18677,16,18678,1170000,18679,3428192,0,18696,9
18778,14,18779,1066000,18781,3428928,0,18798,7
18879,18,18880,858000,18882,3429424,0,18901,8
18980,21,18981,858000,18983,3429672,0,19008,9
19081,20,19082,962000,19083,3427504,0,19101,10
19182,21,19183,858000,19184,3428000,0,19204,9
19282,22,19283,1066000,19284,3428000,0,19302,9
19383,17,19383,1066000,19385,3428184,0,19402,8
19486,19,19487,546000,19489,3428680,0,19518,7
19584,19,19585,1066000,19586,3427648,0,19605,6
19685,16,19685,1170000,19687,3428144,0,19705,9
19786,20,19787,858000,19788,3428432,0,19808,9
19886,12,19887,858000,19889,3428928,0,19909,6
19987,13,19988,1170000,19989,3429424,0,20007,7
20088,25,20091,1170000,20093,3429920,0,20114,13
20191,15,20193,442000,20195,3427604,0,20225,6
20290,20,20291,858000,20292,3428100,0,20314,8
20391,18,20392,546000,20395,3428596,0,20418,7
20491,19,20492,962000,20493,3429092,0,20511,8
20593,19,20594,546000,20596,3429340,0,20623,6
20694,27,20696,442000,20698,3427864,0,20725,9
20795,29,20799,442000,20808,3428308,0,20829,11
20897,24,20898,442000,20901,3428804,0,20924,8
20997,20,20998,650000,21000,3429104,0,21022,9
21098,16,21100,442000,21102,3429600,0,21131,4
21197,33,21198,1170000,21199,3428124,0,21217,14
