execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.022885,[1,2048],[2048,1024],[1,1024]
0.003437,[1,1024],[1024,1008],[1,1008]
0.010512,[1,2048],[2048,1024],[1,1024]
0.002869,[1,1024],[1024,1008],[1,1008]
0.007071,[1,2048],[2048,1024],[1,1024]
0.004141,[1,1024],[1024,1008],[1,1008]
0.020537,[1,2048],[2048,1024],[1,1024]
0.009272,[1,1024],[1024,1008],[1,1008]
0.024623,[1,2048],[2048,1024],[1,1024]
0.013498,[1,1024],[1024,1008],[1,1008]
0.023085,[1,2048],[2048,1024],[1,1024]
0.013974,[1,1024],[1024,1008],[1,1008]
0.023769,[1,2048],[2048,1024],[1,1024]
0.017448,[1,1024],[1024,1008],[1,1008]
0.030694,[1,2048],[2048,1024],[1,1024]
0.005216,[1,1024],[1024,1008],[1,1008]
0.028747,[1,2048],[2048,1024],[1,1024]
0.010497,[1,1024],[1024,1008],[1,1008]
0.027092,[1,2048],[2048,1024],[1,1024]
0.010814,[1,1024],[1024,1008],[1,1008]
0.02442,[1,2048],[2048,1024],[1,1024]
0.004112,[1,1024],[1024,1008],[1,1008]
0.021443,[1,2048],[2048,1024],[1,1024]
0.013457,[1,1024],[1024,1008],[1,1008]
0.021974,[1,2048],[2048,1024],[1,1024]
0.007654,[1,1024],[1024,1008],[1,1008]
0.020298,[1,2048],[2048,1024],[1,1024]
0.010292,[1,1024],[1024,1008],[1,1008]
0.020248,[1,2048],[2048,1024],[1,1024]
0.010864,[1,1024],[1024,1008],[1,1008]
0.02505,[1,2048],[2048,1024],[1,1024]
0.009375,[1,1024],[1024,1008],[1,1008]
0.020419,[1,2048],[2048,1024],[1,1024]
0.005327,[1,1024],[1024,1008],[1,1008]
0.021653,[1,2048],[2048,1024],[1,1024]
0.004356,[1,1024],[1024,1008],[1,1008]
0.020328,[1,2048],[2048,1024],[1,1024]
0.011256,[1,1024],[1024,1008],[1,1008]
0.019707,[1,2048],[2048,1024],[1,1024]
