App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 08:34:07 PM","6 min 41 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,310000,1,0,2,10,6,1217040,11,10,
101,310000,101,0,103,35,103,1217228,109,33,
201,310000,202,46,203,28,204,1217228,209,28,
301,310000,302,46,303,23,304,1217592,309,23,
402,310000,402,0,404,7,405,1217592,409,7,
502,310000,503,0,504,17,506,1217592,514,16,
602,400000,603,0,604,10,605,1217592,609,9,
703,400000,703,0,704,2,705,1217740,709,3,
803,400000,803,0,804,2,805,1217740,809,2,
903,400000,904,0,905,2,905,1217836,909,2,
1003,400000,1004,0,1005,2,1005,1217836,1010,2,
1105,400000,1106,0,1107,10,1108,1217760,1114,10,
1206,400000,1207,0,1208,9,1209,1217760,1216,8,
1306,400000,1308,0,1309,9,1310,1217760,1318,7,
1407,400000,1408,0,1409,2,1410,1217760,1418,2,
1510,400000,1510,0,1512,7,1514,1217760,1521,3,
1610,400000,1611,0,1614,14,1615,1217460,1621,9,
1711,400000,1712,0,1714,5,1715,1217460,1721,3,
1811,310000,1812,0,1814,20,1815,1217316,1824,12,
1912,310000,1913,0,1914,21,1915,1217316,1926,14,
2012,310000,2013,0,2015,25,2016,1217564,2030,16,
2113,310000,2114,0,2115,21,2116,1217688,2122,17,
2215,310000,2215,0,2217,5,2218,1217688,2224,3,
2315,310000,2316,0,2318,5,2319,1217808,2325,3,
2415,310000,2416,0,2418,5,2418,1217808,2424,3,
2516,310000,2517,0,2518,15,2519,1217832,2535,11,
2616,400000,2617,0,2618,41,2619,1218488,2625,38,
2717,310000,2718,0,2719,33,2720,1219764,2728,40,
2817,310000,2818,0,2819,23,2820,1219544,2825,18,
2918,400000,2918,0,2920,10,2921,1219668,2926,9,
3018,400000,3019,0,3020,10,3021,1219668,3027,10,
3118,310000,3120,0,3122,25,3122,1219816,3130,21,
3219,310000,3219,0,3220,19,3221,1219932,3230,19,
3319,310000,3320,0,3321,26,3321,1220276,3326,27,
3419,310000,3420,53,3422,40,3423,1224172,3430,39,
3521,310000,3522,53,3524,30,3525,1225384,3532,28,
3622,310000,3623,53,3624,23,3625,1225348,3637,23,
3723,310000,3724,53,3725,44,3726,1234332,3734,43,
3826,400000,3828,53,3832,29,3834,1233056,3845,36,
3927,400000,3928,53,3930,37,3932,1233228,3950,34,
4031,400000,4033,53,4039,46,4042,1233424,4050,41,
4128,400000,4130,53,4133,30,4136,1233944,4149,19,
4230,400000,4245,53,4252,46,4255,1241256,4267,37,
4332,400000,4333,53,4334,30,4335,1242096,4342,23,
4434,310000,4436,53,4442,15,4444,1242096,4454,19,
4534,310000,4537,53,4539,28,4541,1242564,4547,18,
4636,310000,4639,55,4652,31,4654,1241120,4663,27,
4736,400000,4738,55,4740,31,4743,1241212,4750,23,
4837,310000,4838,55,4840,12,4845,1240968,4866,8,
4942,310000,4943,55,4946,27,4947,1241464,4966,15,
5042,310000,5043,55,5044,35,5046,1242072,5058,31,
5142,310000,5143,55,5144,17,5145,1240420,5149,16,
5243,310000,5245,55,5246,43,5248,1241928,5256,44,
5343,310000,5344,55,5345,45,5345,1230148,5350,45,
5443,310000,5444,55,5445,20,5445,1230572,5449,20,
5544,400000,5545,55,5546,23,5547,1230896,5551,23,
5644,400000,5645,55,5647,23,5648,1232912,5656,23,
5750,400000,5752,54,5754,41,5755,1235756,5765,39,
5845,400000,5846,54,5847,79,5847,1237028,5852,76,
5945,310000,5946,54,5948,38,5949,1257140,5958,40,
6046,310000,6047,0,6049,47,6051,1304564,6063,48,
6147,310000,6148,0,6150,56,6153,1354536,6179,56,
6249,310000,6252,0,6254,68,6256,1390656,6275,66,
6349,310000,6350,0,6352,67,6353,1390796,6366,67,
6449,310000,6450,0,6451,51,6452,1330216,6458,56,
6549,310000,6550,0,6551,35,6552,1285744,6558,32,
6650,310000,6650,0,6651,22,6652,1283696,6664,22,
