App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 07:40:55 PM","6 min 46 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,0,1,1368576,9,0,
150,37,151,1369312,156,36,
250,19,251,1371908,261,20,
301,10,301,1372052,308,10,
401,8,402,1372176,409,9,
501,21,502,1372424,507,21,
601,7,602,1372672,607,6,
702,11,702,1372856,710,11,
802,16,802,1372900,807,15,
902,5,903,1372892,908,5,
1002,5,1003,1372892,1008,5,
1103,5,1103,1372892,1109,5,
1203,5,1204,1372892,1208,5,
1303,30,1304,1373820,1309,29,
1405,33,1407,1374496,1413,37,
1505,10,1506,1374496,1516,9,
1606,17,1607,1374620,1616,16,
1705,24,1705,1373200,1711,21,
1805,10,1806,1373196,1812,10,
1906,28,1908,1376296,1917,34,
2006,34,2007,1383264,2013,34,
2106,33,2107,1384876,2113,33,
2206,20,2207,1385396,2212,18,
2306,25,2307,1386176,2312,26,
2407,16,2408,1384876,2414,12,
2508,38,2510,1384616,2516,24,
2608,10,2609,1384740,2613,8,
2709,13,2710,1384924,2715,10,
2809,13,2810,1385276,2816,9,
2909,17,2911,1385648,2916,11,
3012,13,3014,1385896,3029,11,
3110,20,3111,1384896,3117,14,
3211,23,3212,1384896,3219,14,
3311,17,3312,1384896,3318,11,
3411,15,3412,1385144,3418,10,
3515,19,3517,1385684,3531,14,
3612,32,3612,1384184,3617,29,
3712,13,3713,1384308,3717,14,
3813,46,3814,1384728,3826,45,
3915,54,3917,1381216,3932,58,
4016,58,4017,1395760,4030,59,
4117,72,4119,1399160,4128,71,
4217,62,4218,1385896,4224,61,
4317,56,4318,1392480,4325,53,
4419,63,4421,1394692,4436,63,
4520,76,4524,1390828,4551,78,
4636,100,4637,1405476,4651,100,
4723,100,4725,1369336,4742,100,
4827,84,4830,1389948,4846,84,
4924,60,4925,1286748,4936,55,
5024,45,5025,1289968,5032,45,
5124,12,5125,1290208,5132,12,
5225,51,5226,1318256,5236,57,
5326,50,5327,1326368,5337,48,
