execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
0.182195,3,224,224,7,7,2,2,2,2,64,112,112,
0.021968,64,56,56,1,1,1,1,0,0,64,56,56,
0.357017,64,56,56,3,3,1,1,1,1,192,56,56,
0.005712,192,28,28,1,1,1,1,0,0,16,28,28,
0.014712,16,28,28,5,5,1,1,2,2,32,28,28,
0.017635,192,28,28,1,1,1,1,0,0,96,28,28,
0.087004,96,28,28,3,3,1,1,1,1,128,28,28,
0.016825,192,28,28,1,1,1,1,0,0,64,28,28,
0.01046,192,28,28,1,1,1,1,0,0,32,28,28,
0.021631,256,28,28,1,1,1,1,0,0,64,28,28,
0.01508,256,28,28,1,1,1,1,0,0,32,28,28,
0.06789,32,28,28,5,5,1,1,2,2,96,28,28,
0.031777,256,28,28,1,1,1,1,0,0,128,28,28,
0.179929,128,28,28,3,3,1,1,1,1,192,28,28,
0.030079,256,28,28,1,1,1,1,0,0,128,28,28,
0.009473,480,14,14,1,1,1,1,0,0,64,14,14,
0.004777,480,14,14,1,1,1,1,0,0,16,14,14,
0.006931,16,14,14,5,5,1,1,2,2,48,14,14,
0.016462,480,14,14,1,1,1,1,0,0,96,14,14,
0.053782,96,14,14,3,3,1,1,1,1,204,14,14,
0.030271,480,14,14,1,1,1,1,0,0,192,14,14,
0.00602,508,4,4,1,1,1,1,0,0,128,4,4,
0.184915,3,224,224,7,7,2,2,2,2,64,112,112,
0.019344,64,56,56,1,1,1,1,0,0,64,56,56,
0.3552,64,56,56,3,3,1,1,1,1,192,56,56,
0.006948,192,28,28,1,1,1,1,0,0,16,28,28,
0.016306,16,28,28,5,5,1,1,2,2,32,28,28,
0.022135,192,28,28,1,1,1,1,0,0,96,28,28,
0.102671,96,28,28,3,3,1,1,1,1,128,28,28,
0.014145,192,28,28,1,1,1,1,0,0,64,28,28,
0.009741,192,28,28,1,1,1,1,0,0,32,28,28,
0.017629,256,28,28,1,1,1,1,0,0,64,28,28,
0.010629,256,28,28,1,1,1,1,0,0,32,28,28,
0.069181,32,28,28,5,5,1,1,2,2,96,28,28,
0.02976,256,28,28,1,1,1,1,0,0,128,28,28,
0.174132,128,28,28,3,3,1,1,1,1,192,28,28,
0.032096,256,28,28,1,1,1,1,0,0,128,28,28,
0.010662,480,14,14,1,1,1,1,0,0,64,14,14,
0.005586,480,14,14,1,1,1,1,0,0,16,14,14,
0.005298,16,14,14,5,5,1,1,2,2,48,14,14,
0.011228,480,14,14,1,1,1,1,0,0,96,14,14,
0.036459,96,14,14,3,3,1,1,1,1,204,14,14,
0.019655,480,14,14,1,1,1,1,0,0,192,14,14,
0.001598,508,4,4,1,1,1,1,0,0,128,4,4,
0.192653,3,224,224,7,7,2,2,2,2,64,112,112,
0.026397,64,56,56,1,1,1,1,0,0,64,56,56,
0.330447,64,56,56,3,3,1,1,1,1,192,56,56,
0.007314,192,28,28,1,1,1,1,0,0,16,28,28,
0.014564,16,28,28,5,5,1,1,2,2,32,28,28,
0.016608,192,28,28,1,1,1,1,0,0,96,28,28,
0.089124,96,28,28,3,3,1,1,1,1,128,28,28,
0.013307,192,28,28,1,1,1,1,0,0,64,28,28,
0.010318,192,28,28,1,1,1,1,0,0,32,28,28,
0.026511,256,28,28,1,1,1,1,0,0,64,28,28,
0.012751,256,28,28,1,1,1,1,0,0,32,28,28,
0.072241,32,28,28,5,5,1,1,2,2,96,28,28,
0.026629,256,28,28,1,1,1,1,0,0,128,28,28,
0.179723,128,28,28,3,3,1,1,1,1,192,28,28,
0.035698,256,28,28,1,1,1,1,0,0,128,28,28,
0.00784,480,14,14,1,1,1,1,0,0,64,14,14,
0.005407,480,14,14,1,1,1,1,0,0,16,14,14,
0.007591,16,14,14,5,5,1,1,2,2,48,14,14,
0.012175,480,14,14,1,1,1,1,0,0,96,14,14,
0.043293,96,14,14,3,3,1,1,1,1,204,14,14,
0.033623,480,14,14,1,1,1,1,0,0,192,14,14,
0.006095,508,4,4,1,1,1,1,0,0,128,4,4,
0.193131,3,224,224,7,7,2,2,2,2,64,112,112,
0.017798,64,56,56,1,1,1,1,0,0,64,56,56,
0.330698,64,56,56,3,3,1,1,1,1,192,56,56,
0.008383,192,28,28,1,1,1,1,0,0,16,28,28,
0.017593,16,28,28,5,5,1,1,2,2,32,28,28,
0.017419,192,28,28,1,1,1,1,0,0,96,28,28,
0.099816,96,28,28,3,3,1,1,1,1,128,28,28,
0.014298,192,28,28,1,1,1,1,0,0,64,28,28,
0.007537,192,28,28,1,1,1,1,0,0,32,28,28,
0.015606,256,28,28,1,1,1,1,0,0,64,28,28,
0.009007,256,28,28,1,1,1,1,0,0,32,28,28,
0.066914,32,28,28,5,5,1,1,2,2,96,28,28,
0.032749,256,28,28,1,1,1,1,0,0,128,28,28,
0.184325,128,28,28,3,3,1,1,1,1,192,28,28,
0.039009,256,28,28,1,1,1,1,0,0,128,28,28,
0.014029,480,14,14,1,1,1,1,0,0,64,14,14,
0.003667,480,14,14,1,1,1,1,0,0,16,14,14,
0.005822,16,14,14,5,5,1,1,2,2,48,14,14,
0.011358,480,14,14,1,1,1,1,0,0,96,14,14,
0.040965,96,14,14,3,3,1,1,1,1,204,14,14,
0.024387,480,14,14,1,1,1,1,0,0,192,14,14,
0.006302,508,4,4,1,1,1,1,0,0,128,4,4,
0.180553,3,224,224,7,7,2,2,2,2,64,112,112,
0.017739,64,56,56,1,1,1,1,0,0,64,56,56,
0.327779,64,56,56,3,3,1,1,1,1,192,56,56,
0.005752,192,28,28,1,1,1,1,0,0,16,28,28,
0.015945,16,28,28,5,5,1,1,2,2,32,28,28,
0.025568,192,28,28,1,1,1,1,0,0,96,28,28,
0.096194,96,28,28,3,3,1,1,1,1,128,28,28,
0.018416,192,28,28,1,1,1,1,0,0,64,28,28,
0.010071,192,28,28,1,1,1,1,0,0,32,28,28,
0.01653,256,28,28,1,1,1,1,0,0,64,28,28,
0.012882,256,28,28,1,1,1,1,0,0,32,28,28,
0.069053,32,28,28,5,5,1,1,2,2,96,28,28,
0.031248,256,28,28,1,1,1,1,0,0,128,28,28,
0.183723,128,28,28,3,3,1,1,1,1,192,28,28,
0.032554,256,28,28,1,1,1,1,0,0,128,28,28,
0.00888,480,14,14,1,1,1,1,0,0,64,14,14,
0.005638,480,14,14,1,1,1,1,0,0,16,14,14,
0.005833,16,14,14,5,5,1,1,2,2,48,14,14,
0.012173,480,14,14,1,1,1,1,0,0,96,14,14,
0.044102,96,14,14,3,3,1,1,1,1,204,14,14,
0.025807,480,14,14,1,1,1,1,0,0,192,14,14,
0.002734,508,4,4,1,1,1,1,0,0,128,4,4,
0.182744,3,224,224,7,7,2,2,2,2,64,112,112,
0.020258,64,56,56,1,1,1,1,0,0,64,56,56,
0.343321,64,56,56,3,3,1,1,1,1,192,56,56,
0.007779,192,28,28,1,1,1,1,0,0,16,28,28,
0.018029,16,28,28,5,5,1,1,2,2,32,28,28,
0.024617,192,28,28,1,1,1,1,0,0,96,28,28,
0.089271,96,28,28,3,3,1,1,1,1,128,28,28,
0.021085,192,28,28,1,1,1,1,0,0,64,28,28,
0.007511,192,28,28,1,1,1,1,0,0,32,28,28,
0.015427,256,28,28,1,1,1,1,0,0,64,28,28,
0.014453,256,28,28,1,1,1,1,0,0,32,28,28,
0.072523,32,28,28,5,5,1,1,2,2,96,28,28,
0.034515,256,28,28,1,1,1,1,0,0,128,28,28,
0.172266,128,28,28,3,3,1,1,1,1,192,28,28,
0.031251,256,28,28,1,1,1,1,0,0,128,28,28,
0.009702,480,14,14,1,1,1,1,0,0,64,14,14,
0.004883,480,14,14,1,1,1,1,0,0,16,14,14,
0.006567,16,14,14,5,5,1,1,2,2,48,14,14,
0.011101,480,14,14,1,1,1,1,0,0,96,14,14,
0.03551,96,14,14,3,3,1,1,1,1,204,14,14,
0.023771,480,14,14,1,1,1,1,0,0,192,14,14,
0.002521,508,4,4,1,1,1,1,0,0,128,4,4,
0.190472,3,224,224,7,7,2,2,2,2,64,112,112,
0.019645,64,56,56,1,1,1,1,0,0,64,56,56,
0.329521,64,56,56,3,3,1,1,1,1,192,56,56,
0.007083,192,28,28,1,1,1,1,0,0,16,28,28,
0.016094,16,28,28,5,5,1,1,2,2,32,28,28,
0.022004,192,28,28,1,1,1,1,0,0,96,28,28,
0.087065,96,28,28,3,3,1,1,1,1,128,28,28,
0.013358,192,28,28,1,1,1,1,0,0,64,28,28,
0.007766,192,28,28,1,1,1,1,0,0,32,28,28,
0.017315,256,28,28,1,1,1,1,0,0,64,28,28,
0.01239,256,28,28,1,1,1,1,0,0,32,28,28,
0.069897,32,28,28,5,5,1,1,2,2,96,28,28,
0.031498,256,28,28,1,1,1,1,0,0,128,28,28,
0.177264,128,28,28,3,3,1,1,1,1,192,28,28,
0.030258,256,28,28,1,1,1,1,0,0,128,28,28,
0.010838,480,14,14,1,1,1,1,0,0,64,14,14,
0.005336,480,14,14,1,1,1,1,0,0,16,14,14,
0.008456,16,14,14,5,5,1,1,2,2,48,14,14,
0.013843,480,14,14,1,1,1,1,0,0,96,14,14,
0.037819,96,14,14,3,3,1,1,1,1,204,14,14,
0.028482,480,14,14,1,1,1,1,0,0,192,14,14,
0.011256,508,4,4,1,1,1,1,0,0,128,4,4,
0.182008,3,224,224,7,7,2,2,2,2,64,112,112,
0.023893,64,56,56,1,1,1,1,0,0,64,56,56,
0.333533,64,56,56,3,3,1,1,1,1,192,56,56,
0.006771,192,28,28,1,1,1,1,0,0,16,28,28,
0.015722,16,28,28,5,5,1,1,2,2,32,28,28,
0.019502,192,28,28,1,1,1,1,0,0,96,28,28,
0.091147,96,28,28,3,3,1,1,1,1,128,28,28,
0.016097,192,28,28,1,1,1,1,0,0,64,28,28,
0.009754,192,28,28,1,1,1,1,0,0,32,28,28,
0.023078,256,28,28,1,1,1,1,0,0,64,28,28,
0.013461,256,28,28,1,1,1,1,0,0,32,28,28,
0.075755,32,28,28,5,5,1,1,2,2,96,28,28,
0.033501,256,28,28,1,1,1,1,0,0,128,28,28,
0.173314,128,28,28,3,3,1,1,1,1,192,28,28,
0.032096,256,28,28,1,1,1,1,0,0,128,28,28,
0.010691,480,14,14,1,1,1,1,0,0,64,14,14,
0.005489,480,14,14,1,1,1,1,0,0,16,14,14,
0.011182,16,14,14,5,5,1,1,2,2,48,14,14,
0.016403,480,14,14,1,1,1,1,0,0,96,14,14,
0.040778,96,14,14,3,3,1,1,1,1,204,14,14,
0.025841,480,14,14,1,1,1,1,0,0,192,14,14,
0.005573,508,4,4,1,1,1,1,0,0,128,4,4,
0.200994,3,224,224,7,7,2,2,2,2,64,112,112,
0.020224,64,56,56,1,1,1,1,0,0,64,56,56,
0.326897,64,56,56,3,3,1,1,1,1,192,56,56,
0.005588,192,28,28,1,1,1,1,0,0,16,28,28,
0.015446,16,28,28,5,5,1,1,2,2,32,28,28,
0.018683,192,28,28,1,1,1,1,0,0,96,28,28,
0.095965,96,28,28,3,3,1,1,1,1,128,28,28,
0.013822,192,28,28,1,1,1,1,0,0,64,28,28,
0.009748,192,28,28,1,1,1,1,0,0,32,28,28,
0.017212,256,28,28,1,1,1,1,0,0,64,28,28,
0.010556,256,28,28,1,1,1,1,0,0,32,28,28,
0.067689,32,28,28,5,5,1,1,2,2,96,28,28,
