execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
2.3543,3,224,224,7,7,2,2,2,2,64,112,112,
0.19716,64,56,56,1,1,1,1,0,0,64,56,56,
12.3805,64,56,56,3,3,1,1,1,1,192,56,56,
0.032025,192,28,28,1,1,1,1,0,0,16,28,28,
0.167335,16,28,28,5,5,1,1,2,2,32,28,28,
0.214403,192,28,28,1,1,1,1,0,0,96,28,28,
5.07551,96,28,28,3,3,1,1,1,1,128,28,28,
0.147844,192,28,28,1,1,1,1,0,0,64,28,28,
0.065934,192,28,28,1,1,1,1,0,0,32,28,28,
0.203693,256,28,28,1,1,1,1,0,0,64,28,28,
0.10717,256,28,28,1,1,1,1,0,0,32,28,28,
1.72062,32,28,28,5,5,1,1,2,2,96,28,28,
0.640761,256,28,28,1,1,1,1,0,0,128,28,28,
12.1992,128,28,28,3,3,1,1,1,1,192,28,28,
0.632669,256,28,28,1,1,1,1,0,0,128,28,28,
0.113475,480,14,14,1,1,1,1,0,0,64,14,14,
0.022872,480,14,14,1,1,1,1,0,0,16,14,14,
0.05115,16,14,14,5,5,1,1,2,2,48,14,14,
0.246478,480,14,14,1,1,1,1,0,0,96,14,14,
0.956334,96,14,14,3,3,1,1,1,1,204,14,14,
0.702105,480,14,14,1,1,1,1,0,0,192,14,14,
0.059715,508,4,4,1,1,1,1,0,0,128,4,4,
2.31133,3,224,224,7,7,2,2,2,2,64,112,112,
0.189069,64,56,56,1,1,1,1,0,0,64,56,56,
12.6265,64,56,56,3,3,1,1,1,1,192,56,56,
0.032821,192,28,28,1,1,1,1,0,0,16,28,28,
0.170035,16,28,28,5,5,1,1,2,2,32,28,28,
0.207782,192,28,28,1,1,1,1,0,0,96,28,28,
4.62708,96,28,28,3,3,1,1,1,1,128,28,28,
0.156904,192,28,28,1,1,1,1,0,0,64,28,28,
0.081484,192,28,28,1,1,1,1,0,0,32,28,28,
0.196501,256,28,28,1,1,1,1,0,0,64,28,28,
0.105472,256,28,28,1,1,1,1,0,0,32,28,28,
1.7367,32,28,28,5,5,1,1,2,2,96,28,28,
0.630611,256,28,28,1,1,1,1,0,0,128,28,28,
12.0662,128,28,28,3,3,1,1,1,1,192,28,28,
0.655796,256,28,28,1,1,1,1,0,0,128,28,28,
0.106042,480,14,14,1,1,1,1,0,0,64,14,14,
0.031794,480,14,14,1,1,1,1,0,0,16,14,14,
0.068456,16,14,14,5,5,1,1,2,2,48,14,14,
0.230965,480,14,14,1,1,1,1,0,0,96,14,14,
0.991399,96,14,14,3,3,1,1,1,1,204,14,14,
0.668699,480,14,14,1,1,1,1,0,0,192,14,14,
0.062281,508,4,4,1,1,1,1,0,0,128,4,4,
2.36221,3,224,224,7,7,2,2,2,2,64,112,112,
0.209231,64,56,56,1,1,1,1,0,0,64,56,56,
13.1403,64,56,56,3,3,1,1,1,1,192,56,56,
0.031736,192,28,28,1,1,1,1,0,0,16,28,28,
0.15621,16,28,28,5,5,1,1,2,2,32,28,28,
0.227337,192,28,28,1,1,1,1,0,0,96,28,28,
4.41089,96,28,28,3,3,1,1,1,1,128,28,28,
0.138812,192,28,28,1,1,1,1,0,0,64,28,28,
0.074649,192,28,28,1,1,1,1,0,0,32,28,28,
0.195029,256,28,28,1,1,1,1,0,0,64,28,28,
0.093017,256,28,28,1,1,1,1,0,0,32,28,28,
1.65251,32,28,28,5,5,1,1,2,2,96,28,28,
0.628824,256,28,28,1,1,1,1,0,0,128,28,28,
11.7633,128,28,28,3,3,1,1,1,1,192,28,28,
0.627679,256,28,28,1,1,1,1,0,0,128,28,28,
0.099156,480,14,14,1,1,1,1,0,0,64,14,14,
0.027121,480,14,14,1,1,1,1,0,0,16,14,14,
0.055715,16,14,14,5,5,1,1,2,2,48,14,14,
0.246149,480,14,14,1,1,1,1,0,0,96,14,14,
0.93906,96,14,14,3,3,1,1,1,1,204,14,14,
0.680875,480,14,14,1,1,1,1,0,0,192,14,14,
0.070772,508,4,4,1,1,1,1,0,0,128,4,4,
2.32513,3,224,224,7,7,2,2,2,2,64,112,112,
0.206265,64,56,56,1,1,1,1,0,0,64,56,56,
12.6172,64,56,56,3,3,1,1,1,1,192,56,56,
0.029259,192,28,28,1,1,1,1,0,0,16,28,28,
0.149673,16,28,28,5,5,1,1,2,2,32,28,28,
0.236075,192,28,28,1,1,1,1,0,0,96,28,28,
4.68124,96,28,28,3,3,1,1,1,1,128,28,28,
0.139561,192,28,28,1,1,1,1,0,0,64,28,28,
0.075038,192,28,28,1,1,1,1,0,0,32,28,28,
0.196001,256,28,28,1,1,1,1,0,0,64,28,28,
0.097886,256,28,28,1,1,1,1,0,0,32,28,28,
1.61555,32,28,28,5,5,1,1,2,2,96,28,28,
0.638132,256,28,28,1,1,1,1,0,0,128,28,28,
11.1189,128,28,28,3,3,1,1,1,1,192,28,28,
