Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
0,310000,9059,39,9061,41,9062,1218456,6608.4576271186,9072,41
100,310000,9159,39,9160,28,9161,1218668,6820.4576271186,9165,26
200,310000,9260,0,9262,16,9263,1219148,7300.4576271186,9268,12
301,310000,9361,63,9362,20,9363,1219280,7432.4576271186,9369,15
402,310000,9467,63,9469,32,9470,1218036,6188.4576271186,9476,22
504,310000,9564,63,9566,12,9568,1218656,6808.4576271186,9575,12
605,310000,9665,63,9666,37,9667,1218656,6808.4576271186,9673,31
706,310000,9766,63,9767,53,9769,1219644,7796.4576271186,9776,56
807,400000,9867,63,9868,51,9870,1220444,8596.4576271186,9876,45
907,400000,9967,63,9969,44,9970,1218768,6920.4576271186,9979,44
1008,400000,10068,63,10069,48,10071,1219264,7416.4576271186,10077,48
1108,400000,10168,63,10170,34,10171,1216812,4964.4576271186,10175,33
1209,310000,10268,63,10269,17,10270,1217184,5336.4576271186,10274,17
1309,310000,10369,63,10370,13,10370,1216388,4540.4576271186,10375,13
1409,310000,10469,63,10470,8,10470,1216480,4632.4576271186,10474,8
1509,310000,10569,53,10570,12,10571,1216752,4904.4576271186,10575,12
1610,310000,10669,53,10670,10,10671,1217048,5200.4576271186,10676,10
1711,310000,10771,53,10773,20,10774,1214472,2624.4576271186,10779,18
1812,310000,10872,53,10874,23,10875,1214844,2996.4576271186,10882,16
1912,310000,10972,53,10974,22,10975,1215216,3368.4576271186,10980,15
2013,310000,11073,53,11075,21,11076,1215752,3904.4576271186,11083,17
2113,310000,11173,53,11174,35,11175,1214796,2948.4576271186,11180,22
2214,310000,11274,53,11276,22,11277,1215168,3320.4576271186,11284,19
2314,310000,11375,53,11376,27,11378,1215416,3568.4576271186,11388,18
2415,310000,11475,53,11477,30,11478,1215860,4012.4576271186,11487,19
2516,310000,11576,53,11578,35,11579,1214956,3108.4576271186,11589,21
2616,310000,11677,53,11678,26,11679,1215204,3356.4576271186,11687,17
2717,310000,11777,49,11779,23,11780,1215700,3852.4576271186,11787,15
2817,310000,11877,49,11879,26,11880,1216320,4472.4576271186,11886,18
2918,310000,11978,49,11979,25,11980,1215516,3668.4576271186,11987,18
3018,310000,12078,49,12080,25,12082,1215516,3668.4576271186,12089,18
3119,310000,12179,49,12180,24,12181,1215988,4140.4576271186,12188,15
3219,310000,12279,49,12281,18,12282,1216484,4636.4576271186,12288,13
3319,310000,12379,49,12381,16,12382,1217104,5256.4576271186,12393,12
3420,310000,12480,49,12483,27,12483,1214932,3084.4576271186,12488,22
3520,310000,12580,49,12582,20,12583,1215304,3456.4576271186,12592,16
3621,310000,12680,49,12683,18,12685,1215924,4076.4576271186,12694,14
3721,310000,12782,49,12783,19,12785,1216296,4448.4576271186,12795,13
3822,310000,12882,47,12883,33,12884,1215468,3620.4576271186,12891,23
3922,310000,12984,47,12986,15,12988,1215584,3736.4576271186,12996,15
4024,310000,13084,47,13086,20,13088,1215944,4096.4576271186,13097,15
4124,310000,13184,47,13187,19,13189,1216192,4344.4576271186,13197,13
4227,310000,13288,47,13289,35,13291,1214464,2616.4576271186,13297,23
4328,310000,13388,47,13389,26,13390,1214976,3128.4576271186,13397,19
4429,310000,13489,47,13490,22,13491,1215504,3656.4576271186,13498,14
4529,310000,13589,47,13591,15,13592,1216000,4152.4576271186,13599,11
4630,310000,13689,47,13691,31,13691,1214596,2748.4576271186,13697,22
4730,310000,13790,47,13792,18,13793,1214968,3120.4576271186,13800,14
4831,310000,13891,47,13892,23,13893,1215464,3616.4576271186,13901,15
4931,310000,13991,46,13993,25,13994,1215836,3988.4576271186,14001,16
5032,310000,14093,46,14095,20,14096,1216312,4464.4576271186,14103,14
5132,310000,14192,46,14194,28,14195,1214480,2632.4576271186,14203,20
5233,310000,14293,46,14294,25,14295,1214976,3128.4576271186,14303,16
5333,310000,14393,46,14395,23,14396,1215348,3500.4576271186,14403,16
5434,310000,14494,46,14496,18,14497,1215824,3976.4576271186,14504,13
5535,310000,14595,46,14598,17,14602,1214472,2624.4576271186,14607,13
5635,310000,14695,46,14696,31,14697,1214820,2972.4576271186,14705,23
5735,310000,14795,46,14797,21,14798,1215348,3500.4576271186,14807,16
5836,310000,14896,46,14898,26,14899,1215844,3996.4576271186,14909,18
5937,310000,14999,46,15009,38,15014,1214452,2604.4576271186,15026,28
6037,310000,15097,46,15101,38,15103,1214824,2976.4576271186,15112,24
6137,310000,15197,49,15200,28,15201,1208752,0,15210,18
6238,310000,15298,49,15300,19,15301,1209364,0,15310,13
