Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
0,310000,1,0,2,10,6,1217040,7091.6799999999,11,10,
101,310000,101,0,103,35,103,1217228,7279.6799999999,109,33,
201,310000,202,46,203,28,204,1217228,7279.6799999999,209,28,
301,310000,302,46,303,23,304,1217592,7643.6799999999,309,23,
402,310000,402,0,404,7,405,1217592,7643.6799999999,409,7,
502,310000,503,0,504,17,506,1217592,7643.6799999999,514,16,
602,400000,603,0,604,10,605,1217592,7643.6799999999,609,9,
703,400000,703,0,704,2,705,1217740,7791.6799999999,709,3,
803,400000,803,0,804,2,805,1217740,7791.6799999999,809,2,
903,400000,904,0,905,2,905,1217836,7887.6799999999,909,2,
1003,400000,1004,0,1005,2,1005,1217836,7887.6799999999,1010,2,
1105,400000,1106,0,1107,10,1108,1217760,7811.6799999999,1114,10,
1206,400000,1207,0,1208,9,1209,1217760,7811.6799999999,1216,8,
1306,400000,1308,0,1309,9,1310,1217760,7811.6799999999,1318,7,
1407,400000,1408,0,1409,2,1410,1217760,7811.6799999999,1418,2,
1510,400000,1510,0,1512,7,1514,1217760,7811.6799999999,1521,3,
1610,400000,1611,0,1614,14,1615,1217460,7511.6799999999,1621,9,
1711,400000,1712,0,1714,5,1715,1217460,7511.6799999999,1721,3,
1811,310000,1812,0,1814,20,1815,1217316,7367.6799999999,1824,12,
1912,310000,1913,0,1914,21,1915,1217316,7367.6799999999,1926,14,
2012,310000,2013,0,2015,25,2016,1217564,7615.6799999999,2030,16,
2113,310000,2114,0,2115,21,2116,1217688,7739.6799999999,2122,17,
2215,310000,2215,0,2217,5,2218,1217688,7739.6799999999,2224,3,
2315,310000,2316,0,2318,5,2319,1217808,7859.6799999999,2325,3,
2415,310000,2416,0,2418,5,2418,1217808,7859.6799999999,2424,3,
2516,310000,2517,0,2518,15,2519,1217832,7883.6799999999,2535,11,
2616,400000,2617,0,2618,41,2619,1218488,8539.6799999999,2625,38,
2717,310000,2718,0,2719,33,2720,1219764,9815.6799999999,2728,40,
2817,310000,2818,0,2819,23,2820,1219544,9595.6799999999,2825,18,
2918,400000,2918,0,2920,10,2921,1219668,9719.6799999999,2926,9,
3018,400000,3019,0,3020,10,3021,1219668,9719.6799999999,3027,10,
3118,310000,3120,0,3122,25,3122,1219816,9867.6799999999,3130,21,
3219,310000,3219,0,3220,19,3221,1219932,9983.6799999999,3230,19,
3319,310000,3320,0,3321,26,3321,1220276,10327.6799999999,3326,27,
3419,310000,3420,53,3422,40,3423,1224172,14223.6799999999,3430,39,
3521,310000,3522,53,3524,30,3525,1225384,15435.6799999999,3532,28,
3622,310000,3623,53,3624,23,3625,1225348,15399.6799999999,3637,23,
3723,310000,3724,53,3725,44,3726,1234332,24383.6799999999,3734,43,
3826,400000,3828,53,3832,29,3834,1233056,23107.6799999999,3845,36,
3927,400000,3928,53,3930,37,3932,1233228,23279.6799999999,3950,34,
4031,400000,4033,53,4039,46,4042,1233424,23475.6799999999,4050,41,
4128,400000,4130,53,4133,30,4136,1233944,23995.6799999999,4149,19,
4230,400000,4245,53,4252,46,4255,1241256,31307.6799999999,4267,37,
4332,400000,4333,53,4334,30,4335,1242096,32147.6799999999,4342,23,
4434,310000,4436,53,4442,15,4444,1242096,32147.6799999999,4454,19,
4534,310000,4537,53,4539,28,4541,1242564,32615.6799999999,4547,18,
4636,310000,4639,55,4652,31,4654,1241120,31171.6799999999,4663,27,
4736,400000,4738,55,4740,31,4743,1241212,31263.6799999999,4750,23,
4837,310000,4838,55,4840,12,4845,1240968,31019.6799999999,4866,8,
4942,310000,4943,55,4946,27,4947,1241464,31515.6799999999,4966,15,
5042,310000,5043,55,5044,35,5046,1242072,32123.6799999999,5058,31,
5142,310000,5143,55,5144,17,5145,1240420,30471.6799999999,5149,16,
5243,310000,5245,55,5246,43,5248,1241928,31979.6799999999,5256,44,
5343,310000,5344,55,5345,45,5345,1230148,20199.6799999999,5350,45,
5443,310000,5444,55,5445,20,5445,1230572,20623.6799999999,5449,20,
5544,400000,5545,55,5546,23,5547,1230896,20947.6799999999,5551,23,
5644,400000,5645,55,5647,23,5648,1232912,22963.6799999999,5656,23,
5750,400000,5752,54,5754,41,5755,1235756,25807.6799999999,5765,39,
5845,400000,5846,54,5847,79,5847,1237028,27079.6799999999,5852,76,
5945,310000,5946,54,5948,38,5949,1257140,47191.6799999999,5958,40,
6046,310000,6047,0,6049,47,6051,1304564,94615.6799999999,6063,48,
6147,310000,6148,0,6150,56,6153,1354536,144587.68,6179,56,
6249,310000,6252,0,6254,68,6256,1390656,180707.68,6275,66,
6349,310000,6350,0,6352,67,6353,1390796,180847.68,6366,67,
6449,310000,6450,0,6451,51,6452,1330216,120267.68,6458,56,
6549,310000,6550,0,6551,35,6552,1285744,75795.6799999999,6558,32,
6650,310000,6650,0,6651,22,6652,1283696,73747.6799999999,6664,22,
6750,310000,6751,0,6752,60,6753,1305488,95539.6799999999,6759,54,
6850,310000,6851,0,6852,42,6853,1308888,98939.6799999999,6860,42,
6951,310000,6951,0,6952,46,6954,1321688,111739.68,6960,46,
7051,310000,7052,0,7053,27,7054,1323468,113519.68,7073,27,
7151,310000,7152,0,7153,30,7154,1322040,112091.68,7159,31,
7252,310000,7252,35,7253,25,7254,1322784,112835.68,7258,25,
7352,310000,7353,0,7354,41,7356,1326208,116259.68,7363,38,
7452,310000,7453,0,7455,61,7455,1330128,120179.68,7464,60,
7554,310000,7556,0,7558,91,7559,1345652,135703.68,7564,91,
7654,310000,7655,0,7657,97,7659,1347884,137935.68,7763,97,
7787,200000,7788,0,7789,100,7790,1356096,146147.68,7811,98,
7881,200000,7882,0,7884,89,7892,1350256,140307.68,7898,93,
7980,310000,7981,0,7982,92,7983,1347300,137351.68,8053,91,
8084,310000,8089,0,8091,97,8092,1349212,139263.68,8101,97,
8181,310000,8182,0,8184,87,8184,1348172,138223.68,8193,86,
8233,310000,8234,0,8237,85,8238,1348192,138243.68,8259,87,
8344,400000,8346,32,8347,100,8348,1353728,143779.68,8384,100,
8445,400000,8447,32,8449,97,8450,1351644,141695.68,8457,97,
8546,400000,8547,32,8548,100,8549,1366348,156399.68,8566,100,
8649,400000,8650,32,8652,100,8656,1372664,162715.68,8677,100,
8747,400000,8748,32,8750,100,8755,1367388,157439.68,8774,100,
8847,400000,8852,32,8854,81,8856,1362604,152655.68,8885,80,
8949,400000,8951,32,8957,95,8958,1362128,152179.68,8972,95,
9051,400000,9053,32,9055,92,9056,1363216,153267.68,9067,93,
9159,400000,9160,32,9163,100,9167,1354288,144339.68,9191,100,
9254,400000,9255,32,9257,77,9258,1353620,143671.68,9280,76,
9355,400000,9356,32,9358,52,9359,1351540,141591.68,9366,50,
9456,400000,9456,56,9458,34,9460,1352024,142075.68,9468,36,
9558,400000,9559,56,9561,24,9562,1352320,142371.68,9566,23,
9658,400000,9659,56,9663,20,9665,1352708,142759.68,9674,26,
9760,400000,9761,56,9762,37,9763,1351640,141691.68,9771,30,
9861,400000,9862,56,9864,53,9866,1254084,44135.6799999999,9872,51,
9960,400000,9961,56,9962,48,9963,1212592,2643.6799999999,9967,46,
10062,400000,10062,56,10063,39,10064,1214280,4331.6799999999,10068,37,
10167,310000,10168,56,10169,19,10170,1215024,5075.6799999999,10176,15,
10268,310000,10269,0,10270,27,10272,1213324,3375.6799999999,10277,19,
10368,310000,10369,0,10370,24,10371,1213324,3375.6799999999,10376,18,
10469,310000,10470,0,10472,17,10473,1213448,3499.6799999999,10479,11,
10569,310000,10570,0,10572,24,10573,1214316,4367.6799999999,10579,16,
10671,310000,10672,43,10674,51,10674,1214284,4335.6799999999,10682,36,
10772,310000,10773,43,10775,48,10776,1214624,4675.6799999999,10783,48,
10873,310000,10874,43,10875,50,10876,1216144,6195.6799999999,10884,48,
10973,400000,10974,43,10976,52,10978,1217148,7199.6799999999,10986,53,
11074,400000,11075,43,11076,52,11077,1215560,5611.6799999999,11084,53,
11174,400000,11175,43,11177,42,11178,1213628,3679.6799999999,11183,41,
11274,400000,11275,43,11277,26,11278,1214000,4051.6799999999,11282,24,
11374,310000,11375,43,11376,18,11377,1214620,4671.6799999999,11381,17,
11475,310000,11475,43,11477,7,11477,1215116,5167.6799999999,11482,7,
11575,310000,11576,43,11577,15,11577,1213476,3527.6799999999,11581,15,
11675,310000,11676,43,11677,10,11678,1213724,3775.6799999999,11682,10,
11776,310000,11776,43,11777,17,11778,1214284,4335.6799999999,11782,17,
11877,310000,11878,43,11879,24,11880,1214844,4895.6799999999,11893,18,
11977,310000,11978,58,11979,31,11980,1212988,3039.6799999999,11985,21,
12078,310000,12078,58,12080,20,12081,1213276,3327.6799999999,12086,17,
12178,310000,12179,58,12181,17,12182,1213772,3823.6799999999,12188,14,
12279,310000,12279,58,12281,21,12282,1214392,4443.6799999999,12289,14,
12379,310000,12380,58,12382,42,12383,1213088,3139.6799999999,12388,27,
12480,310000,12481,58,12482,17,12483,1213376,3427.6799999999,12489,13,
12580,310000,12582,58,12583,22,12585,1213616,3667.6799999999,12591,15,
12681,310000,12682,58,12684,26,12685,1213988,4039.6799999999,12690,18,
12782,310000,12783,58,12784,28,12785,1214520,4571.6799999999,12792,21,
12882,310000,12882,58,12884,43,12884,1213220,3271.6799999999,12890,35,
12983,310000,12983,58,12985,24,12986,1213220,3271.6799999999,12994,16,
13083,310000,13085,47,13086,29,13087,1213712,3763.6799999999,13093,19,
13184,310000,13184,47,13186,17,13187,1214364,4415.6799999999,13195,12,
13284,310000,13285,47,13286,28,13287,1213060,3111.6799999999,13292,21,
13385,310000,13386,47,13388,20,13389,1213272,3323.6799999999,13395,14,
13486,310000,13487,47,13489,22,13490,1213644,3695.6799999999,13498,17,
13586,310000,13587,47,13588,20,13589,1214120,4171.6799999999,13596,11,
13687,310000,13688,47,13689,38,13690,1212848,2899.6799999999,13697,29,
13787,310000,13788,47,13789,21,13790,1212836,2887.6799999999,13795,13,
13888,310000,13889,47,13891,23,13893,1213332,3383.6799999999,13900,19,
13991,310000,13992,47,13994,30,13995,1213952,4003.6799999999,14002,17,
14091,310000,14092,44,14094,26,14095,1214696,4747.6799999999,14105,19,
14192,310000,14193,44,14194,28,14195,1212944,2995.6799999999,14201,20,
14292,310000,14294,44,14295,25,14296,1212968,3019.6799999999,14303,16,
14393,310000,14394,44,14395,22,14396,1213684,3735.6799999999,14402,14,
14494,310000,14494,44,14496,24,14497,1214180,4231.6799999999,14504,18,
14594,200000,14595,44,14596,31,14597,1212784,2835.6799999999,14603,23,
14695,200000,14695,44,14697,20,14698,1213372,3423.6799999999,14703,15,
14795,200000,14796,44,14798,22,14798,1213892,3943.6799999999,14806,15,
14896,200000,14896,44,14898,21,14898,1214488,4539.6799999999,14904,15,
14999,200000,15000,44,15002,40,15002,1212796,2847.6799999999,15011,30,
15100,400000,15100,55,15102,23,15102,1213016,3067.6799999999,15107,16,
15200,310000,15201,55,15202,17,15203,1213388,3439.6799999999,15210,13,
15301,310000,15302,55,15303,18,15304,1213884,3935.6799999999,15311,14,
15402,310000,15402,55,15403,30,15404,1212528,2579.6799999999,15409,24,
15502,310000,15503,55,15505,15,15506,1212528,2579.6799999999,15512,12,
15602,310000,15603,55,15608,20,15609,1213152,3203.6799999999,15615,14,
15703,310000,15705,55,15706,21,15708,1213576,3627.6799999999,15715,15,
15804,310000,15805,55,15808,18,15810,1214320,4371.6799999999,15823,14,
15904,310000,15905,55,15906,29,15907,1212860,2911.6799999999,15914,17,
16005,310000,16006,55,16008,18,16009,1213036,3087.6799999999,16016,11,
16105,400000,16107,55,16109,18,16110,1213640,3691.6799999999,16116,14,
16206,400000,16207,44,16208,23,16209,1207840,0,16216,16,
16308,400000,16308,44,16310,21,16310,1205908,0,16316,19,
16409,310000,16409,44,16411,25,16412,1206404,0,16419,21,
16509,310000,16511,44,16512,25,16514,1206900,0,16522,16,
16610,310000,16611,44,16613,23,16614,1207312,0,16621,15,
16712,310000,16713,44,16714,27,16715,1206208,0,16720,21,
16815,310000,16816,44,16817,27,16818,1206684,0,16826,21,
16916,310000,16917,44,16919,22,16920,1207180,0,16929,17,
17017,310000,17018,44,17021,25,17022,1207676,0,17027,17,
17118,310000,17119,44,17121,40,17123,1205700,0,17130,30,
17219,310000,17219,44,17221,20,17222,1205920,0,17227,17,
17320,310000,17321,44,17323,27,17325,1206500,0,17332,16,
17421,310000,17422,44,17423,25,17424,1206812,0,17429,18,
17522,310000,17523,47,17524,36,17525,1205756,0,17530,26,
17622,310000,17623,47,17624,17,17625,1206252,0,17629,14,
17675,310000,17680,47,17683,21,17686,1206368,0,17705,15,
17775,310000,17778,47,17782,31,17784,1206740,0,17805,23,
17880,310000,17886,47,17895,37,17897,1207632,0,17910,29,
17982,310000,17984,47,17987,31,17991,1206176,0,18003,29,
18082,310000,18085,47,18088,30,18092,1206796,0,18108,22,
18183,310000,18185,47,18189,36,18192,1207292,0,18209,25,
18284,310000,18286,47,18290,37,18293,1207788,0,18302,23,
18388,310000,18391,47,18395,23,18398,1208284,0,18447,16,
18486,310000,18489,45,18493,44,18496,1206468,0,18518,27,
18587,310000,18589,45,18593,30,18596,1207036,0,18618,23,
18689,310000,18690,45,18694,26,18697,1207532,0,18712,19,
18794,310000,18797,45,18803,34,18808,1208112,0,18842,36,
18897,310000,18899,45,18903,47,18907,1205828,0,18920,27,
18996,310000,18999,45,19003,31,19006,1206288,0,19032,26,
19097,400000,19098,45,19100,47,19103,1207964,0,19114,40,
19198,310000,19198,45,19200,48,19201,1208668,0,19209,46,
