Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
0,310000,15108,0,15109,52,15109,1228472,2840.9892473118,15115,45
101,310000,15209,0,15210,23,15211,1228848,3216.9892473118,15222,20
201,310000,15309,0,15310,23,15311,1229220,3588.9892473118,15322,17
302,310000,15409,48,15411,26,15411,1229964,4332.9892473118,15426,19
402,310000,15510,48,15512,41,15512,1228116,2484.9892473118,15519,32
503,310000,15610,48,15612,23,15612,1228240,2608.9892473118,15620,18
603,310000,15711,48,15712,21,15713,1228948,3316.9892473118,15721,15
703,310000,15811,48,15813,30,15815,1229568,3936.9892473118,15824,21
804,310000,15912,48,15913,39,15914,1228136,2504.9892473118,15921,30
904,310000,16012,48,16014,24,16017,1228364,2732.9892473118,16033,18
1005,310000,16113,48,16115,27,16117,1228528,2896.9892473118,16123,21
1105,310000,16213,48,16216,24,16217,1229148,3516.9892473118,16232,16
1206,310000,16314,48,16316,34,16317,1227868,2236.9892473118,16327,27
1308,310000,16415,48,16417,18,16420,1228444,2812.9892473118,16430,14
1408,310000,16517,0,16520,23,16522,1229064,3432.9892473118,16532,16
1510,310000,16619,0,16621,27,16622,1229768,4136.9892473118,16640,20
1609,310000,16717,0,16719,25,16720,1230140,4508.9892473118,16726,20
1710,310000,16818,0,16819,33,16820,1228432,2800.9892473118,16824,24
1811,310000,16919,0,16920,30,16921,1228280,2648.9892473118,16927,20
1911,310000,17019,50,17021,25,17021,1228892,3260.9892473118,17027,16
2012,310000,17119,50,17122,47,17123,1229800,4168.9892473118,17129,39
2112,400000,17220,50,17222,52,17223,1228612,2980.9892473118,17230,55
2163,400000,17271,50,17272,75,17273,1229476,3844.9892473118,17285,77
2263,400000,17371,50,17372,68,17373,1230880,5248.9892473118,17377,65
2364,400000,17472,50,17473,55,17474,1231744,6112.9892473118,17485,54
2464,400000,17572,50,17574,48,17575,1231960,6328.9892473118,17586,49
2565,400000,17672,50,17673,39,17674,1228328,2696.9892473118,17677,35
2665,310000,17773,50,17774,22,17774,1228576,2944.9892473118,17779,23
2765,310000,17873,50,17874,19,17875,1229072,3440.9892473118,17881,17
2866,310000,17973,50,17974,17,17975,1229592,3960.9892473118,17980,17
2966,310000,18074,50,18075,20,18076,1227864,2232.9892473118,18081,20
3066,310000,18174,50,18175,20,18176,1228152,2520.9892473118,18182,15
3167,310000,18278,53,18281,17,18283,1228524,2892.9892473118,18291,18
3268,310000,18377,53,18381,25,18384,1229240,3608.9892473118,18394,18
3369,310000,18479,53,18483,27,18487,1230108,4476.9892473118,18507,22
3469,310000,18578,53,18582,29,18586,1228856,3224.9892473118,18595,21
3569,310000,18681,53,18685,30,18686,1229228,3596.9892473118,18692,22
3670,310000,18779,53,18783,30,18786,1229576,3944.9892473118,18794,16
3774,310000,18884,53,18886,27,18888,1230196,4564.9892473118,18906,21
3871,310000,18980,53,18982,31,18984,1228244,2612.9892473118,18991,26
3972,310000,19087,53,19090,41,19092,1228540,2908.9892473118,19113,29
4077,310000,19185,53,19187,43,19187,1229132,3500.9892473118,19193,31
4178,310000,19286,53,19289,20,19290,1229628,3996.9892473118,19297,15
4279,310000,19389,53,19393,28,19396,1228528,2896.9892473118,19407,20
4379,310000,19487,53,19489,26,19489,1228776,3144.9892473118,19494,16
4480,310000,19588,50,19589,23,19590,1229272,3640.9892473118,19598,18
4580,310000,19687,50,19689,17,19689,1229504,3872.9892473118,19693,15
4683,310000,19792,50,19795,20,19798,1228824,3192.9892473118,19807,21
4781,310000,19889,50,19890,33,19890,1228824,3192.9892473118,19896,19
4881,310000,19989,50,19990,30,19991,1229348,3716.9892473118,19998,21
4982,310000,20092,50,20096,20,20099,1229564,3932.9892473118,20113,16
5082,310000,20191,50,20196,35,20200,1230260,4628.9892473118,20222,28
5184,310000,20292,50,20296,30,20298,1228384,2752.9892473118,20306,20
