execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.030414,1,2048,2048,1024,1,1024
0.015191,1,1024,1024,1008,1,1008
0.024384,1,2048,2048,1024,1,1024
0.015398,1,1024,1024,1008,1,1008
0.022145,1,2048,2048,1024,1,1024
0.025769,1,1024,1024,1008,1,1008
0.021093,1,2048,2048,1024,1,1024
0.022017,1,1024,1024,1008,1,1008
0.028482,1,2048,2048,1024,1,1024
0.019922,1,1024,1024,1008,1,1008
0.014187,1,2048,2048,1024,1,1024
0.01634,1,1024,1024,1008,1,1008
0.030531,1,2048,2048,1024,1,1024
0.023583,1,1024,1024,1008,1,1008
0.018255,1,2048,2048,1024,1,1024
0.020917,1,1024,1024,1008,1,1008
0.017059,1,2048,2048,1024,1,1024
0.017117,1,1024,1024,1008,1,1008
0.032716,1,2048,2048,1024,1,1024
0.017058,1,1024,1024,1008,1,1008
0.023523,1,2048,2048,1024,1,1024
0.01892,1,1024,1024,1008,1,1008
0.038541,1,2048,2048,1024,1,1024
0.017385,1,1024,1024,1008,1,1008
0.026415,1,2048,2048,1024,1,1024
0.020726,1,1024,1024,1008,1,1008
0.02583,1,2048,2048,1024,1,1024
0.020061,1,1024,1024,1008,1,1008
0.023936,1,2048,2048,1024,1,1024
0.031683,1,1024,1024,1008,1,1008
0.030939,1,2048,2048,1024,1,1024
0.024362,1,1024,1024,1008,1,1008
0.022803,1,2048,2048,1024,1,1024
0.03879,1,1024,1024,1008,1,1008
0.035454,1,2048,2048,1024,1,1024
0.019536,1,1024,1024,1008,1,1008
0.024912,1,2048,2048,1024,1,1024
0.018941,1,1024,1024,1008,1,1008
0.025347,1,2048,2048,1024,1,1024
0.017234,1,1024,1024,1008,1,1008
0.023187,1,2048,2048,1024,1,1024
0.024195,1,1024,1024,1008,1,1008
0.027115,1,2048,2048,1024,1,1024
0.011371,1,1024,1024,1008,1,1008
0.013051,1,2048,2048,1024,1,1024
0.015254,1,1024,1024,1008,1,1008
0.012629,1,2048,2048,1024,1,1024
