execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.337591,1,2048,2048,1024,1,1024
0.056424,1,1024,1024,1008,1,1008
0.320912,1,2048,2048,1024,1,1024
0.050344,1,1024,1024,1008,1,1008
0.314006,1,2048,2048,1024,1,1024
0.070211,1,1024,1024,1008,1,1008
0.299564,1,2048,2048,1024,1,1024
0.069602,1,1024,1024,1008,1,1008
0.28871,1,2048,2048,1024,1,1024
0.070911,1,1024,1024,1008,1,1008
0.35247,1,2048,2048,1024,1,1024
0.09645,1,1024,1024,1008,1,1008
0.297501,1,2048,2048,1024,1,1024
0.066491,1,1024,1024,1008,1,1008
0.338506,1,2048,2048,1024,1,1024
0.061722,1,1024,1024,1008,1,1008
0.286859,1,2048,2048,1024,1,1024
0.061135,1,1024,1024,1008,1,1008
0.33288,1,2048,2048,1024,1,1024
0.072155,1,1024,1024,1008,1,1008
0.313755,1,2048,2048,1024,1,1024
0.06339,1,1024,1024,1008,1,1008
0.327959,1,2048,2048,1024,1,1024
0.058791,1,1024,1024,1008,1,1008
0.354981,1,2048,2048,1024,1,1024
0.072779,1,1024,1024,1008,1,1008
0.370493,1,2048,2048,1024,1,1024
0.067453,1,1024,1024,1008,1,1008
0.329828,1,2048,2048,1024,1,1024
0.06069,1,1024,1024,1008,1,1008
0.348133,1,2048,2048,1024,1,1024
0.047031,1,1024,1024,1008,1,1008
0.346837,1,2048,2048,1024,1,1024
0.072724,1,1024,1024,1008,1,1008
0.337068,1,2048,2048,1024,1,1024
0.049069,1,1024,1024,1008,1,1008
0.352783,1,2048,2048,1024,1,1024
0.062971,1,1024,1024,1008,1,1008
0.344154,1,2048,2048,1024,1,1024
0.067348,1,1024,1024,1008,1,1008
0.35532,1,2048,2048,1024,1,1024
0.067305,1,1024,1024,1008,1,1008
0.326763,1,2048,2048,1024,1,1024
0.067242,1,1024,1024,1008,1,1008
0.35299,1,2048,2048,1024,1,1024
0.050032,1,1024,1024,1008,1,1008
0.352726,1,2048,2048,1024,1,1024
0.055932,1,1024,1024,1008,1,1008
0.335242,1,2048,2048,1024,1,1024
0.061296,1,1024,1024,1008,1,1008
