App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:22:52 PM","7 min 23 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,310000,3,34,5,38,8,1286948,9,0,
100,310000,101,34,102,26,102,1287772,107,0,
200,310000,201,0,202,29,203,1288640,208,30,
301,310000,301,0,302,35,303,1289684,307,34,
401,310000,402,0,403,26,404,1293852,414,32,
503,310000,505,0,506,53,507,1286304,512,48,
602,400000,602,0,603,20,604,1286420,610,20,
702,310000,703,0,704,9,704,1286544,709,8,
802,310000,803,0,804,9,805,1286656,809,9,
903,310000,903,0,904,5,905,1286904,909,5,
1003,310000,1004,0,1005,5,1005,1287152,1009,5,
1103,310000,1104,0,1105,7,1105,1287044,1112,5,
1203,310000,1204,0,1205,10,1206,1287292,1224,9,
1304,310000,1305,0,1306,15,1307,1287140,1318,11,
1404,310000,1405,0,1407,11,1407,1287140,1420,7,
1505,310000,1505,0,1506,15,1507,1287388,1517,11,
1605,400000,1606,0,1607,48,1608,1290048,1616,48,
1706,310000,1706,0,1708,58,1708,1286960,1717,60,
1806,310000,1807,0,1808,51,1808,1290096,1814,49,
1906,400000,1907,0,1908,17,1909,1290240,1914,16,
2007,400000,2007,0,2008,12,2009,1290240,2015,12,
2107,310000,2108,0,2109,13,2109,1290160,2114,13,
2207,310000,2209,0,2211,12,2214,1290284,2220,16,
2308,310000,2308,0,2309,27,2310,1290668,2315,24,
2409,310000,2410,0,2411,32,2412,1292312,2418,32,
2509,310000,2510,37,2511,20,2513,1294268,2518,18,
2610,310000,2610,37,2611,20,2612,1294268,2619,20,
2710,310000,2711,0,2713,17,2715,1293740,2728,20,
2810,310000,2811,0,2812,23,2813,1293740,2821,16,
2912,310000,2913,0,2915,28,2917,1293832,2938,18,
3011,310000,3012,0,3013,24,3015,1294184,3021,21,
3112,310000,3113,0,3115,40,3116,1294004,3129,29,
3212,310000,3213,0,3215,21,3216,1293808,3226,15,
3314,310000,3315,0,3318,25,3320,1294180,3344,17,
3416,310000,3418,0,3421,26,3424,1294304,3442,23,
3518,310000,3519,0,3521,35,3522,1293352,3532,24,
3619,310000,3621,0,3627,40,3630,1293760,3642,26,
3719,310000,3720,50,3721,39,3722,1294132,3730,36,
3819,310000,3820,50,3821,27,3822,1294112,3830,24,
3920,310000,3921,50,3923,27,3924,1295348,3945,34,
4022,310000,4023,50,4025,37,4027,1301828,4037,34,
4123,400000,4124,50,4130,26,4132,1302256,4152,19,
4223,400000,4224,50,4225,37,4226,1302244,4240,35,
4324,400000,4325,50,4328,40,4331,1302236,4346,35,
4424,400000,4425,50,4426,44,4426,1301456,4434,38,
4525,400000,4526,50,4527,39,4528,1312780,4542,32,
4625,310000,4626,50,4627,16,4628,1310076,4633,13,
4725,310000,4726,0,4728,24,4730,1310324,4740,19,
4826,310000,4827,0,4833,20,4837,1311068,4852,18,
4926,310000,4927,51,4929,34,4931,1309216,4943,22,
5027,310000,5027,51,5029,24,5030,1309412,5045,18,
5127,310000,5128,51,5129,21,5129,1309304,5134,18,
5227,310000,5228,51,5229,24,5230,1309308,5234,19,
5330,310000,5332,51,5335,29,5337,1308328,5352,25,
5431,310000,5433,51,5438,30,5440,1309072,5454,16,
5532,310000,5534,51,5537,28,5540,1309568,5554,17,
5632,310000,5633,51,5635,23,5637,1310188,5651,24,
5732,310000,5733,51,5735,23,5736,1310560,5742,14,
5834,310000,5835,0,5836,34,5837,1308832,5842,24,
5934,310000,5935,0,5936,24,5937,1309328,5942,16,
6035,310000,6035,0,6037,25,6038,1309772,6043,16,
6135,310000,6136,47,6137,25,6138,1310108,6143,19,
6236,310000,6237,47,6238,32,6239,1308052,6248,21,
6336,310000,6337,47,6338,26,6339,1308300,6351,17,
6437,310000,6439,47,6440,26,6440,1308548,6445,17,
6538,310000,6538,47,6540,18,6540,1308916,6547,18,
6638,310000,6639,47,6640,61,6641,1308636,6647,59,
6739,310000,6739,47,6741,57,6741,1295868,6748,57,
6839,310000,6840,47,6841,45,6842,1297524,6850,45,
6940,400000,6941,47,6942,52,6943,1301008,6950,50,
7041,400000,7041,47,7043,51,7044,1302668,7064,57,
