App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:05:23 PM","7 min 9 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,310000,0,66,1,38,2,1276632,3,0,
100,310000,100,0,101,34,102,1277696,112,0,
200,310000,201,0,202,31,202,1285172,206,33,
301,310000,301,0,303,9,303,1285172,308,9,
401,310000,402,0,403,7,407,1285184,414,9,
451,310000,452,0,453,47,454,1283220,458,43,
551,310000,552,0,553,7,554,1283220,558,7,
652,310000,652,0,653,7,654,1283340,658,7,
752,310000,753,0,754,7,754,1283340,758,7,
852,310000,853,0,854,7,855,1283464,859,7,
953,310000,953,0,954,9,955,1283464,959,10,
1053,310000,1054,0,1055,7,1055,1283464,1059,7,
1153,310000,1154,0,1156,7,1157,1283588,1163,7,
1254,310000,1255,0,1256,7,1257,1283836,1263,5,
1354,310000,1355,0,1356,7,1368,1284084,1385,8,
1454,400000,1455,0,1456,38,1458,1284232,1466,37,
1555,310000,1557,0,1559,41,1561,1284848,1567,38,
1655,310000,1656,0,1657,25,1657,1284972,1662,25,
1755,400000,1756,0,1757,19,1758,1285096,1762,17,
1856,400000,1857,0,1858,16,1859,1285096,1863,12,
1956,400000,1957,0,1959,10,1960,1285096,1966,11,
2057,310000,2057,0,2059,10,2059,1285220,2063,10,
2159,310000,2160,0,2161,14,2162,1285220,2169,14,
2261,310000,2262,0,2263,34,2264,1286596,2271,32,
2362,310000,2364,0,2367,33,2369,1288384,2375,39,
2463,400000,2465,0,2466,25,2467,1289068,2477,20,
2564,310000,2565,0,2567,36,2568,1289564,2573,37,
2664,310000,2665,45,2667,34,2668,1298112,2679,35,
2768,400000,2769,45,2771,46,2772,1297132,2777,39,
2869,400000,2870,45,2871,38,2873,1297100,2878,35,
2969,400000,2970,45,2972,31,2974,1297400,2980,29,
3070,400000,3071,45,3072,37,3073,1297828,3078,28,
3172,310000,3175,45,3177,44,3179,1304852,3186,36,
3272,310000,3273,45,3274,32,3275,1305060,3280,25,
3372,310000,3373,45,3375,18,3376,1305060,3382,13,
3473,310000,3474,45,3475,18,3476,1305464,3481,14,
3573,310000,3574,45,3575,45,3576,1304888,3580,42,
3674,310000,3675,45,3676,43,3678,1306008,3684,47,
3774,310000,3775,56,3776,46,3777,1293600,3786,46,
3875,310000,3875,56,3877,50,3878,1295228,3893,51,
3975,400000,3977,56,3979,54,3980,1300096,4002,51,
4076,400000,4076,56,4078,56,4079,1299716,4090,60,
4177,400000,4179,56,4185,69,4186,1316644,4198,67,
4278,310000,4279,56,4282,54,4284,1362524,4302,51,
4378,200000,4380,56,4390,68,4392,1389264,4428,68,
4479,200000,4481,56,4483,79,4485,1400572,4501,78,
4579,200000,4581,56,4583,83,4585,1400956,4610,81,
4680,200000,4682,56,4687,72,4696,1404840,4735,75,
4781,200000,4782,46,4783,80,4784,1396696,4799,76,
4885,200000,4886,46,4888,55,4892,1285736,4906,63,
4985,200000,4986,46,4988,36,4988,1286056,4994,24,
5086,310000,5086,46,5087,25,5088,1313944,5095,25,
5186,310000,5188,46,5191,56,5192,1318252,5199,50,
5290,310000,5292,46,5294,48,5299,1328632,5308,51,
5390,310000,5391,46,5392,43,5392,1329300,5399,36,
5491,310000,5491,46,5492,27,5494,1330272,5499,25,
5591,310000,5592,46,5593,43,5594,1331208,5610,44,
5696,310000,5697,46,5699,68,5700,1330308,5705,69,
5795,310000,5796,46,5799,61,5800,1334284,5810,64,
5896,310000,5897,46,5898,75,5899,1340156,5920,73,
5998,310000,5999,37,6001,89,6002,1359696,6041,90,
6120,310000,6121,37,6122,93,6123,1358952,6184,93,
6198,310000,6199,37,6200,96,6202,1356472,6223,97,
6300,200000,6300,37,6302,90,6303,1353952,6313,90,
6411,200000,6412,37,6413,97,6414,1355256,6454,97,
6512,200000,6513,37,6514,97,6516,1354352,6545,97,
6612,200000,6613,37,6615,74,6617,1354136,6625,74,
6720,200000,6724,37,6726,95,6727,1355356,6840,95,
6872,310000,6873,37,6877,100,6878,1356884,6893,100,
6920,310000,6921,37,6924,100,6926,1354876,6947,100,
7020,310000,7021,37,7026,95,7028,1355820,7051,93,
7149,310000,7151,41,7161,96,7162,1357972,7178,98,
7222,310000,7223,41,7224,100,7225,1354832,7238,100,
7325,310000,7326,41,7327,72,7328,1354176,7333,73,
7426,200000,7426,41,7428,82,7429,1363412,7446,77,
7531,200000,7532,41,7533,93,7534,1361180,7627,92,
7632,310000,7633,41,7635,100,7636,1359960,7649,100,
7793,400000,7794,41,7797,96,7799,1357016,7862,97,
7862,400000,7863,41,7865,100,7867,1357644,7882,100,
7949,400000,7950,41,7951,94,7952,1353400,7957,93,
8049,400000,8052,41,8055,81,8057,1365704,8066,83,
8150,400000,8151,41,8152,53,8153,1369072,8160,48,
8251,400000,8252,41,8254,67,8255,1359396,8261,65,
8355,400000,8356,39,8358,45,8360,1359900,8364,46,
8456,400000,8457,39,8458,43,8460,1360016,8465,41,
8556,400000,8558,39,8560,58,8561,1360412,8571,60,
8657,400000,8658,39,8660,61,8661,1358804,8668,61,
8757,400000,8758,39,8759,35,8759,1359296,8763,33,
8858,400000,8859,39,8860,36,8860,1360536,8866,37,
8958,310000,8959,39,8960,61,8960,1223456,8966,60,
9059,310000,9059,39,9061,41,9062,1218456,9072,41,
9159,310000,9159,39,9160,28,9161,1218668,9165,26,
