execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
0.152433,3,224,224,7,7,2,2,2,2,64,112,112,
0.011906,64,56,56,1,1,1,1,0,0,64,56,56,
0.252426,64,56,56,3,3,1,1,1,1,192,56,56,
0.004546,192,28,28,1,1,1,1,0,0,16,28,28,
0.013509,16,28,28,5,5,1,1,2,2,32,28,28,
0.016181,192,28,28,1,1,1,1,0,0,96,28,28,
0.069468,96,28,28,3,3,1,1,1,1,128,28,28,
0.011347,192,28,28,1,1,1,1,0,0,64,28,28,
0.005478,192,28,28,1,1,1,1,0,0,32,28,28,
0.013261,256,28,28,1,1,1,1,0,0,64,28,28,
0.006112,256,28,28,1,1,1,1,0,0,32,28,28,
0.050764,32,28,28,5,5,1,1,2,2,96,28,28,
0.018792,256,28,28,1,1,1,1,0,0,128,28,28,
0.113784,128,28,28,3,3,1,1,1,1,192,28,28,
0.016618,256,28,28,1,1,1,1,0,0,128,28,28,
0.004463,480,14,14,1,1,1,1,0,0,64,14,14,
0.002628,480,14,14,1,1,1,1,0,0,16,14,14,
0.003821,16,14,14,5,5,1,1,2,2,48,14,14,
0.006127,480,14,14,1,1,1,1,0,0,96,14,14,
0.020854,96,14,14,3,3,1,1,1,1,204,14,14,
0.010554,480,14,14,1,1,1,1,0,0,192,14,14,
0.001784,508,4,4,1,1,1,1,0,0,128,4,4,
0.102414,3,224,224,7,7,2,2,2,2,64,112,112,
0.007417,64,56,56,1,1,1,1,0,0,64,56,56,
0.159569,64,56,56,3,3,1,1,1,1,192,56,56,
0.002052,192,28,28,1,1,1,1,0,0,16,28,28,
0.007227,16,28,28,5,5,1,1,2,2,32,28,28,
0.0112,192,28,28,1,1,1,1,0,0,96,28,28,
0.050383,96,28,28,3,3,1,1,1,1,128,28,28,
0.005064,192,28,28,1,1,1,1,0,0,64,28,28,
0.002522,192,28,28,1,1,1,1,0,0,32,28,28,
0.005785,256,28,28,1,1,1,1,0,0,64,28,28,
0.003706,256,28,28,1,1,1,1,0,0,32,28,28,
0.030405,32,28,28,5,5,1,1,2,2,96,28,28,
0.029086,256,28,28,1,1,1,1,0,0,128,28,28,
0.079236,128,28,28,3,3,1,1,1,1,192,28,28,
0.012284,256,28,28,1,1,1,1,0,0,128,28,28,
0.004498,480,14,14,1,1,1,1,0,0,64,14,14,
0.003083,480,14,14,1,1,1,1,0,0,16,14,14,
0.003317,16,14,14,5,5,1,1,2,2,48,14,14,
0.005112,480,14,14,1,1,1,1,0,0,96,14,14,
0.016838,96,14,14,3,3,1,1,1,1,204,14,14,
0.008132,480,14,14,1,1,1,1,0,0,192,14,14,
0.0005,508,4,4,1,1,1,1,0,0,128,4,4,
0.116727,3,224,224,7,7,2,2,2,2,64,112,112,
0.006979,64,56,56,1,1,1,1,0,0,64,56,56,
0.158302,64,56,56,3,3,1,1,1,1,192,56,56,
0.002326,192,28,28,1,1,1,1,0,0,16,28,28,
0.009732,16,28,28,5,5,1,1,2,2,32,28,28,
0.010105,192,28,28,1,1,1,1,0,0,96,28,28,
0.048488,96,28,28,3,3,1,1,1,1,128,28,28,
0.004715,192,28,28,1,1,1,1,0,0,64,28,28,
0.002579,192,28,28,1,1,1,1,0,0,32,28,28,
0.006682,256,28,28,1,1,1,1,0,0,64,28,28,
0.003575,256,28,28,1,1,1,1,0,0,32,28,28,
0.027523,32,28,28,5,5,1,1,2,2,96,28,28,
0.01562,256,28,28,1,1,1,1,0,0,128,28,28,
0.075436,128,28,28,3,3,1,1,1,1,192,28,28,
0.012075,256,28,28,1,1,1,1,0,0,128,28,28,
0.003157,480,14,14,1,1,1,1,0,0,64,14,14,
0.001783,480,14,14,1,1,1,1,0,0,16,14,14,
0.00201,16,14,14,5,5,1,1,2,2,48,14,14,
0.00403,480,14,14,1,1,1,1,0,0,96,14,14,
0.01566,96,14,14,3,3,1,1,1,1,204,14,14,
0.010972,480,14,14,1,1,1,1,0,0,192,14,14,
0.000503,508,4,4,1,1,1,1,0,0,128,4,4,
0.131276,3,224,224,7,7,2,2,2,2,64,112,112,
0.011499,64,56,56,1,1,1,1,0,0,64,56,56,
0.26041,64,56,56,3,3,1,1,1,1,192,56,56,
0.003549,192,28,28,1,1,1,1,0,0,16,28,28,
0.008835,16,28,28,5,5,1,1,2,2,32,28,28,
0.011058,192,28,28,1,1,1,1,0,0,96,28,28,
0.06558,96,28,28,3,3,1,1,1,1,128,28,28,
0.007809,192,28,28,1,1,1,1,0,0,64,28,28,
0.007335,192,28,28,1,1,1,1,0,0,32,28,28,
0.009797,256,28,28,1,1,1,1,0,0,64,28,28,
0.006018,256,28,28,1,1,1,1,0,0,32,28,28,
0.046702,32,28,28,5,5,1,1,2,2,96,28,28,
0.02159,256,28,28,1,1,1,1,0,0,128,28,28,
0.128371,128,28,28,3,3,1,1,1,1,192,28,28,
0.019106,256,28,28,1,1,1,1,0,0,128,28,28,
0.005036,480,14,14,1,1,1,1,0,0,64,14,14,
0.002932,480,14,14,1,1,1,1,0,0,16,14,14,
0.003463,16,14,14,5,5,1,1,2,2,48,14,14,
0.006841,480,14,14,1,1,1,1,0,0,96,14,14,
0.027243,96,14,14,3,3,1,1,1,1,204,14,14,
0.013437,480,14,14,1,1,1,1,0,0,192,14,14,
0.003187,508,4,4,1,1,1,1,0,0,128,4,4,
0.128485,3,224,224,7,7,2,2,2,2,64,112,112,
0.010123,64,56,56,1,1,1,1,0,0,64,56,56,
0.212135,64,56,56,3,3,1,1,1,1,192,56,56,
0.002275,192,28,28,1,1,1,1,0,0,16,28,28,
0.006319,16,28,28,5,5,1,1,2,2,32,28,28,
0.00851,192,28,28,1,1,1,1,0,0,96,28,28,
0.055008,96,28,28,3,3,1,1,1,1,128,28,28,
0.007953,192,28,28,1,1,1,1,0,0,64,28,28,
0.005293,192,28,28,1,1,1,1,0,0,32,28,28,
0.013586,256,28,28,1,1,1,1,0,0,64,28,28,
0.005747,256,28,28,1,1,1,1,0,0,32,28,28,
0.049375,32,28,28,5,5,1,1,2,2,96,28,28,
0.02396,256,28,28,1,1,1,1,0,0,128,28,28,
0.141679,128,28,28,3,3,1,1,1,1,192,28,28,
0.018804,256,28,28,1,1,1,1,0,0,128,28,28,
0.004603,480,14,14,1,1,1,1,0,0,64,14,14,
0.002449,480,14,14,1,1,1,1,0,0,16,14,14,
0.006128,16,14,14,5,5,1,1,2,2,48,14,14,
0.010641,480,14,14,1,1,1,1,0,0,96,14,14,
0.039956,96,14,14,3,3,1,1,1,1,204,14,14,
0.023994,480,14,14,1,1,1,1,0,0,192,14,14,
0.005059,508,4,4,1,1,1,1,0,0,128,4,4,
0.151573,3,224,224,7,7,2,2,2,2,64,112,112,
0.011223,64,56,56,1,1,1,1,0,0,64,56,56,
0.27813,64,56,56,3,3,1,1,1,1,192,56,56,
0.004943,192,28,28,1,1,1,1,0,0,16,28,28,
0.017462,16,28,28,5,5,1,1,2,2,32,28,28,
0.022347,192,28,28,1,1,1,1,0,0,96,28,28,
0.090046,96,28,28,3,3,1,1,1,1,128,28,28,
0.012752,192,28,28,1,1,1,1,0,0,64,28,28,
0.005477,192,28,28,1,1,1,1,0,0,32,28,28,
0.012379,256,28,28,1,1,1,1,0,0,64,28,28,
0.007011,256,28,28,1,1,1,1,0,0,32,28,28,
0.05798,32,28,28,5,5,1,1,2,2,96,28,28,
0.03013,256,28,28,1,1,1,1,0,0,128,28,28,
0.141698,128,28,28,3,3,1,1,1,1,192,28,28,
0.025787,256,28,28,1,1,1,1,0,0,128,28,28,
0.005708,480,14,14,1,1,1,1,0,0,64,14,14,
0.002704,480,14,14,1,1,1,1,0,0,16,14,14,
0.003552,16,14,14,5,5,1,1,2,2,48,14,14,
0.008758,480,14,14,1,1,1,1,0,0,96,14,14,
0.03663,96,14,14,3,3,1,1,1,1,204,14,14,
