execute_time,in_depth,input_rows,input_cols,filter_rows,filter_cols,stride_rows,stride_cols,pad_rows,pad_cols,out_depth,out_rows,out_cols,
0.14147,3,224,224,7,7,2,2,2,2,64,112,112,
0.010481,64,56,56,1,1,1,1,0,0,64,56,56,
0.034437,64,56,56,3,3,1,1,1,1,192,56,56,
0.008095,192,28,28,1,1,1,1,0,0,16,28,28,
0.008645,16,28,28,5,5,1,1,2,2,32,28,28,
0.01431,192,28,28,1,1,1,1,0,0,96,28,28,
0.01637,96,28,28,3,3,1,1,1,1,128,28,28,
0.006927,192,28,28,1,1,1,1,0,0,64,28,28,
0.007669,192,28,28,1,1,1,1,0,0,32,28,28,
0.009797,256,28,28,1,1,1,1,0,0,64,28,28,
0.006083,256,28,28,1,1,1,1,0,0,32,28,28,
0.01573,32,28,28,5,5,1,1,2,2,96,28,28,
0.006392,256,28,28,1,1,1,1,0,0,128,28,28,
0.025468,128,28,28,3,3,1,1,1,1,192,28,28,
0.008936,256,28,28,1,1,1,1,0,0,128,28,28,
0.005136,480,14,14,1,1,1,1,0,0,64,14,14,
0.006633,480,14,14,1,1,1,1,0,0,16,14,14,
0.005466,16,14,14,5,5,1,1,2,2,48,14,14,
0.011848,480,14,14,1,1,1,1,0,0,96,14,14,
0.007457,96,14,14,3,3,1,1,1,1,204,14,14,
0.013352,480,14,14,1,1,1,1,0,0,192,14,14,
0.004935,508,4,4,1,1,1,1,0,0,128,4,4,
0.031586,3,224,224,7,7,2,2,2,2,64,112,112,
0.0069,64,56,56,1,1,1,1,0,0,64,56,56,
0.027936,64,56,56,3,3,1,1,1,1,192,56,56,
0.005717,192,28,28,1,1,1,1,0,0,16,28,28,
0.005097,16,28,28,5,5,1,1,2,2,32,28,28,
0.007212,192,28,28,1,1,1,1,0,0,96,28,28,
0.018147,96,28,28,3,3,1,1,1,1,128,28,28,
0.004054,192,28,28,1,1,1,1,0,0,64,28,28,
0.005659,192,28,28,1,1,1,1,0,0,32,28,28,
0.007036,256,28,28,1,1,1,1,0,0,64,28,28,
0.004609,256,28,28,1,1,1,1,0,0,32,28,28,
0.008278,32,28,28,5,5,1,1,2,2,96,28,28,
0.007028,256,28,28,1,1,1,1,0,0,128,28,28,
0.020725,128,28,28,3,3,1,1,1,1,192,28,28,
0.00674,256,28,28,1,1,1,1,0,0,128,28,28,
0.010636,480,14,14,1,1,1,1,0,0,64,14,14,
0.003187,480,14,14,1,1,1,1,0,0,16,14,14,
0.003186,16,14,14,5,5,1,1,2,2,48,14,14,
0.004279,480,14,14,1,1,1,1,0,0,96,14,14,
0.008216,96,14,14,3,3,1,1,1,1,204,14,14,
0.005231,480,14,14,1,1,1,1,0,0,192,14,14,
0.005081,508,4,4,1,1,1,1,0,0,128,4,4,
0.023345,3,224,224,7,7,2,2,2,2,64,112,112,
0.005506,64,56,56,1,1,1,1,0,0,64,56,56,
0.03253,64,56,56,3,3,1,1,1,1,192,56,56,
0.00576,192,28,28,1,1,1,1,0,0,16,28,28,
0.003485,16,28,28,5,5,1,1,2,2,32,28,28,
0.005461,192,28,28,1,1,1,1,0,0,96,28,28,
