Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
0,87,7537,1586000,7538,3374944,2441.8181818184,7546,29
103,0,7641,754000,7642,3373792,1289.8181818184,7648,14
202,87,7739,962000,7740,3374380,1877.8181818184,7747,16
301,35,7838,754000,7839,3373648,1145.8181818184,7845,19
401,26,7938,858000,7939,3372408,0,7945,14
502,0,8039,754000,8039,3368628,0,8042,10
603,8,8141,754000,8142,3368628,0,8151,3
705,16,8243,858000,8244,3369068,0,8265,5
805,20,8343,1066000,8344,3369316,0,8364,10
906,19,8444,962000,8446,3369640,0,8466,9
1006,25,8544,442000,8544,3368040,0,8551,8
1107,16,8644,442000,8645,3367944,0,8651,4
1207,87,8745,754000,8746,3368584,0,8755,34
1308,42,8845,1170000,8846,3370880,0,8854,26
1408,53,8946,1170000,8946,3373392,889.8181818184,8961,33
1508,0,9046,1170000,9046,3370820,0,9051,13
1609,20,9146,754000,9147,3371260,0,9152,9
1709,87,9246,1170000,9247,3372004,0,9254,7
1809,0,9347,858000,9347,3372264,0,9352,4
1910,8,9447,754000,9447,3372884,381.8181818184,9453,3
2014,6,9553,442000,9555,3371284,0,9576,3
2114,26,9652,442000,9655,3371780,0,9678,9
2217,18,9755,858000,9757,3372028,0,9782,7
2318,16,9856,858000,9858,3372524,21.8181818184,9882,7
2417,22,9955,442000,9957,3372772,269.8181818184,9988,7
2515,27,10053,1066000,10054,3371396,0,10076,14
2618,10,10156,442000,10159,3371396,0,10184,5
2719,28,10257,442000,10259,3371644,0,10287,8
2821,23,10359,442000,10361,3372140,0,10386,8
2923,21,10461,442000,10463,3372884,381.8181818184,10494,9
3020,27,10558,962000,10559,3370900,0,10580,10
3122,15,10661,442000,10663,3371272,0,10693,6
3221,26,10760,858000,10761,3372016,0,10786,13
3323,15,10861,442000,10862,3372016,0,10894,3
3423,17,10961,442000,10963,3372264,0,10994,7
3522,26,11060,1274000,11061,3370640,0,11080,11
3624,20,11162,442000,11165,3371136,0,11201,11
3725,21,11263,442000,11265,3371632,0,11300,7
3825,19,11364,442000,11366,3372128,0,11398,7
3926,22,11464,442000,11466,3372500,0,11497,7
4026,27,11564,1170000,11566,3370824,0,11596,12
4127,24,11664,962000,11666,3371272,0,11693,10
4229,20,11768,442000,11770,3371768,0,11805,6
4330,23,11868,442000,11870,3372264,0,11910,8
4430,20,11968,442000,11970,3372760,257.8181818184,11998,9
4529,29,12067,1170000,12068,3370444,0,12089,13
4632,13,12170,442000,12172,3370940,0,12205,8
4732,27,12270,442000,12272,3371436,0,12308,9
4832,17,12371,442000,12372,3371932,0,12413,8
4932,19,12469,1170000,12470,3372428,0,12517,7
5032,27,12570,1170000,12571,3371048,0,12589,13
5133,16,12670,1170000,12671,3371240,0,12695,8
5235,15,12774,442000,12776,3371488,0,12805,6
5338,21,12876,442000,12878,3372232,0,12905,9
5437,18,12976,442000,12978,3372480,0,13012,6
5536,28,13073,1274000,13075,3371004,0,13093,13
5636,12,13174,442000,13176,3371252,0,13202,6
5738,20,13276,546000,13278,3371500,0,13304,8
5837,22,13375,1066000,13376,3371984,0,13396,9
5940,17,13478,442000,13480,3372480,0,13508,7
6038,25,13576,1170000,13577,3371128,0,13597,12
6139,18,13677,962000,13678,3371624,0,13697,8
6241,17,13779,442000,13781,3372120,0,13809,6
6340,16,13878,858000,13880,3372616,113.8181818184,13900,6
6440,15,13978,1170000,13979,3373112,609.8181818184,13997,8
6541,22,14079,1170000,14080,3371092,0,14098,12
6643,16,14181,442000,14183,3371092,0,14208,9
6742,17,14280,858000,14281,3371588,0,14304,6
6843,14,14381,650000,14383,3372084,0,14407,5
6943,15,14481,858000,14482,3372480,0,14503,6
7043,16,14581,1274000,14582,3371424,0,14599,8
7144,15,14681,1170000,14683,3371672,0,14700,8
7244,18,14782,1170000,14784,3372168,0,14801,11
7347,14,14885,442000,14887,3372416,0,14916,5
7446,18,14984,962000,14985,3372604,101.8181818184,15004,6
7546,26,15084,1170000,15086,3371228,0,15103,11
7647,15,15185,962000,15186,3371228,0,15205,6
7747,19,15285,962000,15287,3371476,0,15306,8
7849,22,15387,442000,15390,3371972,0,15419,10
7949,24,15487,858000,15488,3372468,0,15508,8
8049,20,15587,1170000,15588,3371252,0,15605,10
8151,21,15690,442000,15691,3371748,0,15720,9
8252,22,15790,442000,15793,3371748,0,15823,8
8351,21,15889,858000,15891,3372232,0,15912,7
8452,18,15990,754000,15991,3372728,225.8181818184,16012,7
8552,22,16090,754000,16094,3373472,969.8181818184,16118,9
8652,21,16190,1170000,16191,3371056,0,16208,9
8753,18,16290,1274000,16292,3371552,0,16308,10
8854,14,16392,858000,16393,3371984,0,16413,9
8954,18,16492,1274000,16493,3372480,0,16509,8
9054,14,16592,1170000,16593,3373348,845.8181818184,16610,8
9155,21,16693,1170000,16694,3371772,0,16711,10
9256,20,16794,858000,16795,3372268,0,16815,8
9356,15,16894,1066000,16895,3372764,261.8181818184,16914,7
9458,22,16997,546000,16999,3373260,757.8181818184,17021,7
9557,27,17095,1378000,17096,3373508,1005.8181818184,17121,15
9658,27,17196,1586000,17197,3371552,0,17212,18
9759,15,17297,1066000,17298,3372048,0,17315,8
9859,16,17397,1066000,17398,3372528,25.8181818184,17416,8
9960,20,17498,962000,17499,3372900,397.8181818184,17518,9
10060,15,17598,1170000,17599,3373456,953.8181818184,17616,7
10160,25,17698,1170000,17699,3371484,0,17716,12
10261,20,17799,1066000,17800,3371732,0,17818,10
10361,21,17899,1170000,17900,3371980,0,17918,11
10462,15,18000,858000,18001,3372228,0,18022,8
10562,17,18100,962000,18101,3372724,221.8181818184,18121,6
10664,20,18201,1378000,18203,3373468,965.8181818184,18223,13
10764,18,18302,858000,18303,3371248,0,18324,7
10864,24,18402,858000,18404,3371732,0,18424,10
10965,22,18503,858000,18504,3372228,0,18533,10
11066,23,18605,858000,18608,3372960,457.8181818184,18629,9
11167,19,18705,858000,18706,3373456,953.8181818184,18729,8
11267,22,18804,1170000,18806,3371236,0,18822,13
11371,16,18909,442000,18912,3371484,0,18937,7
11471,28,19009,442000,19012,3372244,0,19041,9
11568,29,19108,1170000,19109,3372988,485.8181818184,19126,12
11669,12,19207,1170000,19209,3373484,981.8181818184,19227,6
11719,16,19257,1170000,19258,3373484,981.8181818184,19278,9
11821,26,19360,442000,19362,3371760,0,19388,12
11920,38,19458,1378000,19459,3372244,0,19480,21
12020,44,19558,1586000,19559,3372976,473.8181818184,19576,26
12121,15,19658,1586000,19659,3373472,969.8181818184,19684,10
12222,21,19759,1066000,19761,3373720,1217.8181818184,19782,9
12322,20,19860,1170000,19861,3372392,0,19879,9
12424,16,19963,442000,19965,3372640,137.8181818184,19992,7
12523,20,20061,1170000,20062,3372888,385.8181818184,20079,9
12624,16,20162,1170000,20163,3373136,633.8181818184,20180,8
12724,20,20262,1170000,20263,3373384,881.8181818184,20280,11
12825,13,20362,1170000,20364,3373632,1129.8181818184,20382,8
12925,24,20462,1378000,20464,3372564,61.8181818184,20491,15
13026,20,20564,962000,20565,3372728,225.8181818184,20590,7
13126,17,20664,1066000,20665,3372728,225.8181818184,20688,7
13227,17,20765,962000,20766,3372976,473.8181818184,20789,8
13327,20,20865,962000,20866,3373224,721.8181818184,20886,7
13427,22,20965,1378000,20966,3372092,0,20982,12
13528,12,21065,1274000,21067,3372340,0,21083,8
13628,15,21166,1170000,21167,3372096,0,21185,8
13729,20,21267,858000,21268,3372344,0,21292,8
13829,22,21367,858000,21369,3373088,585.8181818184,21389,8
13930,21,21467,1378000,21468,3371760,0,21484,11
14030,14,21568,858000,21569,3372108,0,21594,7
14130,25,21668,1066000,21669,3372604,101.8181818184,21687,10
14231,14,21769,962000,21770,3372604,101.8181818184,21789,6
14331,18,21869,1170000,21870,3373100,597.8181818184,21890,9
14432,24,21969,1170000,21970,3371868,0,21988,11
14532,16,22070,962000,22071,3372116,0,22091,8
14633,16,22170,1170000,22172,3372116,0,22201,8
14734,20,22271,858000,22273,3372364,0,22293,8
14834,22,22372,962000,22373,3372364,0,22392,9
14937,17,22475,858000,22476,3372852,349.8181818184,22496,8
15036,30,22574,1378000,22576,3372016,0,22591,16
15137,17,22676,858000,22677,3371984,0,22697,10
15238,16,22776,858000,22777,3372232,0,22796,6
15339,21,22877,546000,22879,3372480,0,22905,6
15439,23,22977,858000,22979,3372728,225.8181818184,22998,8
15540,23,23078,858000,23079,3372236,0,23103,10
15640,16,23178,858000,23180,3372236,0,23199,6
15741,11,23279,858000,23280,3372484,0,23301,5
15841,12,23379,962000,23380,3372732,229.8181818184,23399,5
15942,13,23479,1066000,23481,3372732,229.8181818184,23499,7
16042,23,23579,1378000,23580,3372108,0,23596,13
16144,18,23683,858000,23685,3372108,0,23706,10
16243,24,23781,858000,23782,3372108,0,23802,9
16344,15,23881,962000,23883,3372356,0,23901,8
16446,19,23984,442000,23986,3372852,349.8181818184,24011,7
16545,31,24082,858000,24084,3372212,0,24104,10
16645,19,24183,1066000,24184,3372460,0,24201,7
16748,12,24287,442000,24289,3372708,205.8181818184,24324,5
16848,27,24387,442000,24389,3372956,453.8181818184,24413,8
16950,25,24488,754000,24490,3373452,949.8181818184,24512,11
17049,24,24587,1066000,24588,3371984,0,24606,12
17151,15,24689,442000,24692,3372480,0,24723,6
17252,22,24790,442000,24793,3372480,0,24821,6
17351,26,24889,858000,24890,3372728,225.8181818184,24911,8
17453,23,24991,546000,24992,3372976,473.8181818184,25024,9
17552,25,25090,858000,25091,3372632,129.8181818184,25117,10
17654,16,25192,442000,25201,3372632,129.8181818184,25227,7
17754,24,25292,546000,25294,3372632,129.8181818184,25320,6
17854,16,25393,754000,25394,3372880,377.8181818184,25417,9
17954,17,25492,962000,25494,3372880,377.8181818184,25515,7
18055,24,25592,1378000,25594,3372108,0,25611,15
18157,16,25695,442000,25697,3372356,0,25726,5
18259,27,25797,442000,25799,3372604,101.8181818184,25829,8
18357,21,25895,962000,25896,3373100,597.8181818184,25916,11
18460,15,25998,442000,26000,3373348,845.8181818184,26028,4
18559,24,26097,650000,26099,3372512,9.8181818184,26127,9
18659,17,26197,858000,26199,3372512,9.8181818184,26228,7
18762,16,26300,442000,26302,3372760,257.8181818184,26329,7
