Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
0,37,6527,1274000,6527,3365124,1740.6728971964,6632,15
102,0,6629,754000,6629,3364416,1032.6728971964,6741,2
202,5,6730,754000,6731,3364940,1556.6728971964,6840,2
303,10,6830,754000,6831,3364464,1080.6728971964,6943,4
403,15,6930,754000,6931,3364960,1576.6728971964,7041,4
503,15,7031,754000,7032,3362592,0,7140,3
604,15,7131,754000,7132,3362840,0,7242,3
704,12,7232,754000,7233,3363348,0,7339,3
804,11,7332,754000,7332,3363844,460.6728971964,7441,6
905,18,7432,858000,7433,3364340,956.6728971964,7542,20
1005,87,7532,962000,7533,3363384,0.6728971964,7642,27
1105,46,7632,1170000,7633,3365116,1732.6728971964,7740,22
1205,36,7733,1170000,7733,3365876,2492.6728971964,7839,12
1306,0,7833,858000,7834,3366032,2648.6728971964,7939,6
1406,18,7933,754000,7934,3364736,1352.6728971964,8039,8
1506,20,8034,754000,8034,3364984,1600.6728971964,8139,5
1606,13,8134,754000,8134,3364936,1552.6728971964,8239,3
1707,8,8234,754000,8235,3364936,1552.6728971964,8360,3
1809,8,8337,858000,8341,3364936,1552.6728971964,8467,7
1911,17,8439,858000,8440,3365184,1800.6728971964,8556,17
2010,33,8538,1274000,8540,3363064,0,8667,9
2116,22,8644,858000,8645,3363560,176.6728971964,8774,7
2217,19,8745,442000,8749,3364004,620.6728971964,8864,9
2313,25,8843,962000,8844,3364264,880.6728971964,8972,6
2420,10,8948,858000,8949,3364760,1376.6728971964,9060,14
2514,30,9042,1066000,9043,3363480,96.6728971964,9170,7
2616,12,9144,442000,9147,3363728,344.6728971964,9271,7
2716,21,9245,546000,9249,3362348,0,9366,8
2815,22,9344,858000,9346,3362596,0,9466,10
2916,17,9444,858000,9446,3363256,0,9561,12
3016,25,9544,1378000,9545,3361780,0,9678,6
3122,12,9650,546000,9652,3362028,0,9772,7
