Applications Graphics Acceleration Info:
Uptime: 30300941 Realtime: 372356100

** Graphics info for pid 10186 [org.tensorflow.demo] **

Stats since: 29785534328464ns
Total frames rendered: 11376
Janky frames: 14 (0.12%)
50th percentile: 5ms
90th percentile: 6ms
95th percentile: 7ms
99th percentile: 10ms
Number Missed Vsync: 4
Number High input latency: 0
Number Slow UI thread: 7
Number Slow bitmap uploads: 0
Number Slow issue draw commands: 9
HISTOGRAM: 5ms=9879 6ms=795 7ms=289 8ms=157 9ms=95 10ms=50 11ms=36 12ms=18 13ms=20 14ms=11 15ms=8 16ms=4 17ms=2 18ms=2 19ms=0 20ms=0 21ms=1 22ms=0 23ms=1 24ms=0 25ms=0 26ms=0 27ms=0 28ms=0 29ms=0 30ms=0 31ms=0 32ms=0 34ms=0 36ms=0 38ms=0 40ms=0 42ms=0 44ms=0 46ms=0 48ms=0 53ms=0 57ms=0 61ms=0 65ms=0 69ms=0 73ms=0 77ms=0 81ms=0 85ms=0 89ms=0 93ms=0 97ms=0 101ms=0 105ms=0 109ms=0 113ms=0 117ms=0 121ms=0 125ms=0 129ms=0 133ms=0 150ms=0 200ms=0 250ms=0 300ms=0 350ms=2 400ms=2 450ms=2 500ms=0 550ms=2 600ms=0 650ms=0 700ms=0 750ms=0 800ms=0 850ms=0 900ms=0 950ms=0 1000ms=0 1050ms=0 1100ms=0 1150ms=0 1200ms=0 1250ms=0 1300ms=0 1350ms=0 1400ms=0 1450ms=0 1500ms=0 1550ms=0 1600ms=0 1650ms=0 1700ms=0 1750ms=0 1800ms=0 1850ms=0 1900ms=0 1950ms=0 2000ms=0 2050ms=0 2100ms=0 2150ms=0 2200ms=0 2250ms=0 2300ms=0 2350ms=0 2400ms=0 2450ms=0 2500ms=0 2550ms=0 2600ms=0 2650ms=0 2700ms=0 2750ms=0 2800ms=0 2850ms=0 2900ms=0 2950ms=0 3000ms=0 3050ms=0 3100ms=0 3150ms=0 3200ms=0 3250ms=0 3300ms=0 3350ms=0 3400ms=0 3450ms=0 3500ms=0 3550ms=0 3600ms=0 3650ms=0 3700ms=0 3750ms=0 3800ms=0 3850ms=0 3900ms=0 3950ms=0 4000ms=0 4050ms=0 4100ms=0 4150ms=0 4200ms=0 4250ms=0 4300ms=0 4350ms=0 4400ms=0 4450ms=0 4500ms=0 4550ms=0 4600ms=0 4650ms=0 4700ms=0 4750ms=0 4800ms=0 4850ms=0 4900ms=0 4950ms=0

Caches:
Current memory usage / total memory usage (bytes) / hit ratio (%) / biggest memory usage (bytes):
  TextureCache                0 / 92274688    0.0000         0
  LayerCache                  0 / 60817408    0.0000         0 (numLayers = 0)
    Layer size 1080x1440; isTextureLayer()=1; texid=2 fbo=0; refs=1
  Layers total    6220800 (numLayers = 1)
  RenderBufferCache           0 /  8388608    0.0000         0
  GradientCache               0 /  2097152    0.0000         0
  PathCache                   0 / 16777216    0.0000         0
  TessellationCache           0 /  1048576    0.0000
  TextDropShadowCache         0 /  6291456    0.0000         0
  PatchCache                  0 /   131072    0.0000         0
  FontRenderer A8     1048576 /  1048576
    Font CacheTexture    222664 /  1048576   21.2349 (usage ratio)
  FontRenderer RGBA         0 /        0
  FontRenderer total  1048576 /  1048576
Other:
  FboCache                    0 /        0    0.0000
Total memory usage:
  7269376 bytes, 6.93 MB

All Textures in TexctureCache 
# No./ memory usage (bytes)/ size (width X height) / image type / hit count:


Pipeline=FrameBuilder
Profile data in ms:

	org.tensorflow.demo/org.tensorflow.demo.ClassifierActivity/android.view.ViewRootImpl@170226f (visibility=0)
	Draw	Prepare	Process	Execute
	0.91	0.13	0.71	2.62
	0.82	0.07	0.92	2.84
	1.56	0.07	0.72	2.65
	1.78	0.11	0.67	2.44
	0.83	0.09	0.99	2.59
	0.91	0.12	0.78	2.46
	0.73	0.08	0.97	2.81
	0.89	0.14	1.38	4.00
	0.92	0.07	0.64	2.39
	0.93	0.11	0.94	2.46
	1.08	0.07	0.63	3.18
	0.80	0.08	0.63	3.60
	1.01	0.08	0.83	3.14
	0.81	0.07	0.92	2.92
	2.19	0.07	0.85	3.69
	0.79	0.07	0.78	2.31
	1.63	0.63	0.86	2.49
	1.06	0.08	0.78	2.96
	0.79	0.08	0.73	3.06
	1.02	0.08	0.64	2.47
	0.91	0.08	0.75	2.53
	1.02	0.08	1.01	3.21
	0.86	0.09	0.83	2.76
	0.83	0.08	0.74	2.77
	0.84	0.07	0.74	2.34
	0.86	0.08	0.63	2.20
	0.86	0.09	1.02	3.48
	3.07	0.08	0.84	2.29
	0.85	0.08	0.75	2.58
	1.56	0.08	0.82	2.41
	0.89	0.07	0.65	2.52
	0.85	0.08	1.17	4.08
	1.13	0.09	0.76	2.47
	0.67	0.08	0.78	2.35
	0.97	0.09	0.87	3.24
	0.97	0.07	0.97	2.72
	4.27	0.10	0.88	2.79
	0.86	0.08	0.77	2.71
	0.89	0.15	1.07	4.00
	0.90	0.08	0.70	2.44
	0.90	0.09	0.63	2.69
	1.40	0.08	0.85	2.31
	0.88	0.07	0.78	2.32
	2.97	0.08	0.72	2.44
	0.88	0.08	0.65	2.58
	0.81	0.09	0.73	3.26
	0.90	0.08	0.80	2.55
	0.85	0.09	0.76	5.29
	1.00	0.09	0.71	2.57
	0.84	0.07	0.69	2.98
	0.75	0.07	1.09	3.70
	0.92	0.09	0.71	2.94
	1.23	0.08	0.91	3.35
	0.80	0.07	0.73	2.21
	0.76	0.07	0.93	2.54
	0.85	0.08	0.89	2.61
	1.61	0.07	0.72	2.23
	0.90	0.07	0.61	2.58
	0.80	0.08	0.71	2.70
	0.95	0.08	0.73	3.01
	0.98	0.10	0.79	2.60
	2.81	0.07	1.08	3.72
	0.86	0.08	0.76	2.51
	0.89	0.08	0.63	2.74
	0.72	0.07	0.70	3.15
	0.80	0.07	0.63	2.25
	0.78	0.07	0.86	2.48
	0.89	0.07	0.64	2.12
	0.92	0.08	0.91	2.79
	1.36	0.09	0.67	8.04
	1.07	0.08	0.74	2.99
	0.83	0.07	0.60	2.43
	1.16	0.09	1.18	2.58
	0.86	0.07	0.68	2.93
	1.92	0.13	1.45	4.24
	0.84	0.10	0.92	4.41
	0.75	0.08	0.73	2.72
	0.83	0.08	0.73	2.41
	0.85	0.07	0.75	2.75
	0.79	0.06	1.01	5.87
	1.00	0.09	0.82	2.83
	0.81	0.08	0.68	2.29
	1.00	0.07	0.91	3.26
	1.27	0.08	0.64	2.29
	0.90	0.07	0.75	2.83
	0.82	0.07	0.83	2.57
	0.83	0.08	0.82	2.80
	0.84	0.06	0.60	2.17
	0.90	0.13	1.11	5.12
	0.77	0.08	0.62	2.70
	0.78	0.08	1.08	3.68
	0.85	0.07	0.68	2.52
	0.74	0.07	0.90	2.72
	0.80	0.09	0.86	2.63
	0.84	0.07	0.72	2.54
	0.93	0.07	0.84	7.54
	1.59	0.08	0.91	2.94
	0.96	0.08	0.85	2.24
	0.82	0.14	0.70	2.55
	0.89	0.11	1.01	2.70
	0.99	0.08	0.71	2.62
	0.92	0.09	0.93	3.26
	0.74	0.08	0.69	2.41
	0.85	0.08	0.71	2.51
	0.84	0.08	0.92	3.98
	0.80	0.08	0.97	2.76
