execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.008335,1,2048,2048,1024,1,1024
0.002958,1,1024,1024,1008,1,1008
0.011305,1,2048,2048,1024,1,1024
0.002914,1,1024,1024,1008,1,1008
0.007478,1,2048,2048,1024,1,1024
0.002956,1,1024,1024,1008,1,1008
0.009998,1,2048,2048,1024,1,1024
0.003602,1,1024,1024,1008,1,1008
0.018322,1,2048,2048,1024,1,1024
0.004842,1,1024,1024,1008,1,1008
0.023745,1,2048,2048,1024,1,1024
0.004624,1,1024,1024,1008,1,1008
0.023261,1,2048,2048,1024,1,1024
0.003168,1,1024,1024,1008,1,1008
0.018483,1,2048,2048,1024,1,1024
0.006539,1,1024,1024,1008,1,1008
0.014037,1,2048,2048,1024,1,1024
0.003078,1,1024,1024,1008,1,1008
0.019852,1,2048,2048,1024,1,1024
0.013535,1,1024,1024,1008,1,1008
0.02521,1,2048,2048,1024,1,1024
0.011014,1,1024,1024,1008,1,1008
0.022486,1,2048,2048,1024,1,1024
0.007818,1,1024,1024,1008,1,1008
0.023406,1,2048,2048,1024,1,1024
0.004535,1,1024,1024,1008,1,1008
0.033564,1,2048,2048,1024,1,1024
0.014035,1,1024,1024,1008,1,1008
0.02269,1,2048,2048,1024,1,1024
0.005402,1,1024,1024,1008,1,1008
0.025168,1,2048,2048,1024,1,1024
0.007023,1,1024,1024,1008,1,1008
0.027523,1,2048,2048,1024,1,1024
0.009504,1,1024,1024,1008,1,1008
0.021406,1,2048,2048,1024,1,1024
0.011064,1,1024,1024,1008,1,1008
0.021697,1,2048,2048,1024,1,1024
0.012026,1,1024,1024,1008,1,1008
0.019954,1,2048,2048,1024,1,1024
0.005299,1,1024,1024,1008,1,1008
0.020161,1,2048,2048,1024,1,1024
0.012695,1,1024,1024,1008,1,1008
0.028496,1,2048,2048,1024,1,1024
0.00557,1,1024,1024,1008,1,1008
0.025982,1,2048,2048,1024,1,1024
0.012644,1,1024,1024,1008,1,1008
0.020609,1,2048,2048,1024,1,1024
0.00795,1,1024,1024,1008,1,1008
0.02509,1,2048,2048,1024,1,1024
0.008251,1,1024,1024,1008,1,1008
0.03035,1,2048,2048,1024,1,1024
0.01094,1,1024,1024,1008,1,1008
0.022663,1,2048,2048,1024,1,1024
0.007914,1,1024,1024,1008,1,1008
0.024217,1,2048,2048,1024,1,1024
0.003948,1,1024,1024,1008,1,1008
0.020807,1,2048,2048,1024,1,1024
0.005888,1,1024,1024,1008,1,1008
0.024714,1,2048,2048,1024,1,1024
0.004862,1,1024,1024,1008,1,1008
0.023043,1,2048,2048,1024,1,1024
0.018036,1,1024,1024,1008,1,1008
0.023475,1,2048,2048,1024,1,1024
0.007782,1,1024,1024,1008,1,1008
0.02444,1,2048,2048,1024,1,1024
0.00976,1,1024,1024,1008,1,1008
0.023381,1,2048,2048,1024,1,1024
0.012281,1,1024,1024,1008,1,1008
0.020563,1,2048,2048,1024,1,1024
0.007192,1,1024,1024,1008,1,1008
0.02627,1,2048,2048,1024,1,1024
