execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.056385,1,2048,2048,1024,1,1024
0.019028,1,1024,1024,1008,1,1008
0.05227,1,2048,2048,1024,1,1024
0.014651,1,1024,1024,1008,1,1008
0.059646,1,2048,2048,1024,1,1024
0.013013,1,1024,1024,1008,1,1008
0.055313,1,2048,2048,1024,1,1024
0.019861,1,1024,1024,1008,1,1008
0.05733,1,2048,2048,1024,1,1024
0.018319,1,1024,1024,1008,1,1008
0.062348,1,2048,2048,1024,1,1024
0.013479,1,1024,1024,1008,1,1008
0.057552,1,2048,2048,1024,1,1024
0.021353,1,1024,1024,1008,1,1008
0.059329,1,2048,2048,1024,1,1024
0.016986,1,1024,1024,1008,1,1008
0.053741,1,2048,2048,1024,1,1024
0.023932,1,1024,1024,1008,1,1008
0.049807,1,2048,2048,1024,1,1024
0.01752,1,1024,1024,1008,1,1008
0.053883,1,2048,2048,1024,1,1024
0.022292,1,1024,1024,1008,1,1008
0.054916,1,2048,2048,1024,1,1024
0.009495,1,1024,1024,1008,1,1008
0.062395,1,2048,2048,1024,1,1024
0.019295,1,1024,1024,1008,1,1008
0.055305,1,2048,2048,1024,1,1024
0.02145,1,1024,1024,1008,1,1008
0.055485,1,2048,2048,1024,1,1024
0.021321,1,1024,1024,1008,1,1008
0.057404,1,2048,2048,1024,1,1024
0.018398,1,1024,1024,1008,1,1008
0.059895,1,2048,2048,1024,1,1024
0.015359,1,1024,1024,1008,1,1008
0.053867,1,2048,2048,1024,1,1024
0.016255,1,1024,1024,1008,1,1008
0.058285,1,2048,2048,1024,1,1024
0.015772,1,1024,1024,1008,1,1008
0.058473,1,2048,2048,1024,1,1024
0.013397,1,1024,1024,1008,1,1008
0.056375,1,2048,2048,1024,1,1024
0.018275,1,1024,1024,1008,1,1008
0.053494,1,2048,2048,1024,1,1024
0.023278,1,1024,1024,1008,1,1008
0.054804,1,2048,2048,1024,1,1024
