App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:50:40 nachm.","6 min 57 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,7,1,962000,2,3374544,9,1,
102,29,102,1066000,103,3375288,112,14,
202,26,203,1170000,204,3376104,210,13,
301,20,302,1066000,302,3376732,307,7,
402,12,402,1066000,403,3376996,408,5,
502,8,502,754000,503,3377260,508,3,
602,13,603,754000,603,3377864,608,5,
703,17,703,754000,703,3378112,709,7,
803,5,803,754000,804,3378360,809,2,
903,9,903,754000,904,3377868,909,3,
1008,14,1010,442000,1014,3378116,1042,3,
1107,12,1108,858000,1109,3378116,1131,5,
1210,15,1212,442000,1215,3378116,1235,5,
1307,19,1308,442000,1309,3378116,1316,5,
1408,20,1408,858000,1409,3378844,1416,5,
1508,87,1509,1066000,1509,3381780,1517,42,
1609,45,1609,858000,1609,3385020,1616,28,
1709,0,1709,962000,1709,3385960,1713,17,
1809,8,1809,754000,1810,3385960,1815,3,
1909,10,1910,754000,1910,3385960,1915,4,
2010,3,2010,754000,2010,3385960,2016,1,
2110,21,2110,754000,2111,3385468,2116,8,
2210,31,2211,1170000,2211,3388328,2216,13,
2315,8,2316,442000,2318,3388576,2346,2,
2413,20,2414,858000,2416,3389072,2437,8,
2515,27,2515,858000,2517,3389200,2538,12,
2614,87,2615,754000,2616,3389692,2627,50,
2714,86,2715,754000,2716,3391044,2726,8,
2815,41,2815,1170000,2816,3389592,2825,22,
2915,17,2916,1066000,2916,3390088,2927,9,
3018,0,3019,1066000,3020,3389980,3052,10,
3117,25,3118,1066000,3119,3390228,3139,16,
3218,10,3219,858000,3220,3390476,3241,4,
3318,31,3319,1378000,3320,3399852,3339,17,
3419,22,3419,1274000,3421,3398128,3437,11,
3519,87,3519,858000,3520,3398204,3529,11,
3618,35,3619,1170000,3619,3401016,3624,24,
3719,49,3719,1170000,3719,3403768,3724,40,
3819,33,3819,1170000,3820,3421976,3826,28,
3919,30,3920,1066000,3920,3519192,3928,24,
4025,39,4025,1066000,4025,3608996,4043,31,
4120,35,4120,962000,4120,3600080,4125,29,
4222,54,4222,1274000,4222,3592428,4229,44,
4320,0,4321,962000,4321,3577984,4326,8,
4421,12,4421,754000,4421,3578048,4424,6,
4521,12,4521,754000,4521,3578220,4524,7,
4628,30,4629,858000,4630,3583068,4664,16,
4726,87,4727,1378000,4728,3583720,4748,43,
4827,57,4827,1170000,4828,3586448,4848,64,
4927,0,4927,1586000,4928,3577916,4943,31,
5027,53,5028,1586000,5029,3572144,5043,38,
5127,87,5128,1586000,5129,3572744,5146,57,
5228,0,5228,1378000,5229,3575316,5244,26,
5329,87,5330,858000,5331,3500056,5355,52,
5429,59,5430,1274000,5431,3501652,5453,53,
5530,0,5530,1586000,5531,3514324,5546,29,
5630,87,5630,1378000,5631,3514944,5650,48,
5730,0,5731,1586000,5732,3512580,5747,28,
5831,58,5831,1586000,5832,3512256,5848,34,
5932,37,5933,1586000,5934,3511108,5957,27,
6032,68,6032,1586000,6033,3511208,6049,39,
6132,57,6133,1586000,6134,3511456,6154,32,
6232,67,6233,1586000,6235,3511364,6247,40,
6332,87,6333,1170000,6333,3517356,6340,39,
6432,59,6432,1586000,6433,3539032,6440,51,
6533,0,6533,1586000,6533,3534972,6538,40,
6633,87,6633,1586000,6634,3535460,6638,70,
6733,0,6733,1586000,6734,3528320,6737,35,
6834,53,6834,1586000,6834,3525872,6837,37,
6934,46,6934,1586000,6934,3525856,6938,33,
7035,87,7035,1586000,7036,3524476,7043,38,
7135,0,7135,1066000,7135,3524780,7140,8,
7235,20,7236,1066000,7236,3524780,7242,8,
7336,18,7336,1066000,7337,3525016,7346,6,
7437,28,7437,1066000,7438,3525508,7449,7,
7537,87,7537,1586000,7538,3374944,7546,29,
7640,0,7641,754000,7642,3373792,7648,14,
7739,87,7739,962000,7740,3374380,7747,16,
7838,35,7838,754000,7839,3373648,7845,19,
7938,26,7938,858000,7939,3372408,7945,14,
8039,0,8039,754000,8039,3368628,8042,10,
8140,8,8141,754000,8142,3368628,8151,3,
8242,16,8243,858000,8244,3369068,8265,5,
8342,20,8343,1066000,8344,3369316,8364,10,
8443,19,8444,962000,8446,3369640,8466,9,
8543,25,8544,442000,8544,3368040,8551,8,
8644,16,8644,442000,8645,3367944,8651,4,
8744,87,8745,754000,8746,3368584,8755,34,
8845,42,8845,1170000,8846,3370880,8854,26,
8945,53,8946,1170000,8946,3373392,8961,33,
9045,0,9046,1170000,9046,3370820,9051,13,
9146,20,9146,754000,9147,3371260,9152,9,
9246,87,9246,1170000,9247,3372004,9254,7,
9346,0,9347,858000,9347,3372264,9352,4,
9447,8,9447,754000,9447,3372884,9453,3,
9551,6,9553,442000,9555,3371284,9576,3,
9651,26,9652,442000,9655,3371780,9678,9,
9754,18,9755,858000,9757,3372028,9782,7,
9855,16,9856,858000,9858,3372524,9882,7,
9954,22,9955,442000,9957,3372772,9988,7,
10052,27,10053,1066000,10054,3371396,10076,14,
10155,10,10156,442000,10159,3371396,10184,5,
10256,28,10257,442000,10259,3371644,10287,8,
10358,23,10359,442000,10361,3372140,10386,8,
10460,21,10461,442000,10463,3372884,10494,9,
10557,27,10558,962000,10559,3370900,10580,10,
10659,15,10661,442000,10663,3371272,10693,6,
