App,Package,Start Time,Duration,Filename
"System",,"Jan. 6, 2018 @ 12:02:03 vorm.","7 min 14 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
0,10,0,1378000,1,3353992,12,3,
100,87,100,1586000,101,3358444,113,37,
200,51,200,1586000,201,3360000,209,44,
300,0,301,1586000,301,3360152,306,15,
401,11,401,1066000,401,3361860,406,6,
501,7,501,754000,502,3362108,507,2,
609,15,613,442000,614,3362852,620,6,
702,14,702,754000,702,3363100,707,3,
802,1,802,754000,803,3363472,808,0,
902,10,902,858000,903,3362196,907,4,
1004,23,1005,1586000,1006,3362196,1022,13,
1104,25,1105,1586000,1106,3362196,1123,20,
1205,29,1206,1586000,1207,3361900,1224,21,
1305,19,1306,1586000,1308,3363056,1323,14,
1406,27,1407,1586000,1407,3363056,1414,18,
1506,15,1507,1586000,1507,3363056,1514,7,
1606,18,1606,858000,1607,3363304,1612,8,
1707,87,1707,1066000,1708,3366800,1716,28,
1807,51,1807,1170000,1808,3370148,1815,32,
1907,0,1907,962000,1908,3364660,1911,10,
2008,1,2008,754000,2008,3364660,2013,0,
2108,10,2108,754000,2109,3363904,2114,4,
2208,14,2208,754000,2209,3363904,2214,5,
2308,87,2309,754000,2309,3364844,2317,19,
2411,19,2411,962000,2413,3367712,2424,11,
2510,33,2510,1066000,2511,3370252,2519,21,
2610,19,2611,1066000,2611,3370356,2622,11,
2712,0,2712,1066000,2716,3369584,2739,13,
2812,30,2813,1066000,2814,3370576,2841,14,
2913,25,2913,1274000,2915,3367864,2945,16,
3013,21,3014,1586000,3015,3369104,3039,13,
3113,87,3113,754000,3114,3369848,3125,15,
3212,29,3213,1066000,3213,3372640,3218,19,
3313,38,3313,1066000,3313,3375888,3321,29,
3413,44,3413,1066000,3414,3403868,3520,23,
3513,29,3514,1066000,3514,3502296,3626,29,
3616,34,3617,1170000,3618,3586380,3720,29,
3714,57,3714,1170000,3715,3584760,3819,24,
3814,32,3814,754000,3815,3584808,3919,11,
3914,0,3915,858000,3915,3585096,4018,10,
4015,19,4015,754000,4015,3578888,4121,10,
4115,88,4115,754000,4116,3584656,4244,17,
4217,0,4219,1170000,4221,3585452,4350,19,
4318,34,4319,858000,4320,3584808,4437,22,
4420,35,4420,1378000,4421,3585308,4534,16,
4518,22,4518,1586000,4519,3583484,4634,22,
4618,29,4619,1586000,4620,3563944,4735,20,
4718,28,4719,1586000,4720,3564064,4835,21,
4819,31,4820,1586000,4821,3564716,4937,23,
4919,33,4920,1586000,4920,3566204,5037,24,
5020,38,5021,1586000,5021,3497876,5136,16,
5120,23,5121,1586000,5122,3498372,5235,18,
5220,22,5221,1586000,5222,3502604,5338,17,
5321,24,5322,1586000,5323,3502852,5426,25,
5421,37,5421,1586000,5422,3504660,5532,48,
5522,87,5523,1586000,5523,3525360,5629,26,
5622,40,5622,1586000,5622,3528052,5737,23,
5724,0,5724,1586000,5727,3527536,5830,18,
5824,36,5824,1378000,5825,3526076,5930,18,
5924,34,5924,1378000,5925,3525928,6031,20,
6024,87,6025,1378000,6025,3524544,6137,16,
6127,0,6130,1170000,6130,3522392,6234,22,
6227,87,6227,1066000,6228,3517776,6331,16,
6326,18,6326,1066000,6327,3516064,6432,26,
6426,30,6426,1274000,6427,3393244,6532,28,
6527,37,6527,1274000,6527,3365124,6632,15,
6629,0,6629,754000,6629,3364416,6741,2,
6729,5,6730,754000,6731,3364940,6840,2,
6830,10,6830,754000,6831,3364464,6943,4,
6930,15,6930,754000,6931,3364960,7041,4,
7030,15,7031,754000,7032,3362592,7140,3,
7131,15,7131,754000,7132,3362840,7242,3,
7231,12,7232,754000,7233,3363348,7339,3,
7331,11,7332,754000,7332,3363844,7441,6,
7432,18,7432,858000,7433,3364340,7542,20,
7532,87,7532,962000,7533,3363384,7642,27,
7632,46,7632,1170000,7633,3365116,7740,22,
7732,36,7733,1170000,7733,3365876,7839,12,
7833,0,7833,858000,7834,3366032,7939,6,
7933,18,7933,754000,7934,3364736,8039,8,
8033,20,8034,754000,8034,3364984,8139,5,
8133,13,8134,754000,8134,3364936,8239,3,
8234,8,8234,754000,8235,3364936,8360,3,
8336,8,8337,858000,8341,3364936,8467,7,
8438,17,8439,858000,8440,3365184,8556,17,
8537,33,8538,1274000,8540,3363064,8667,9,
8643,22,8644,858000,8645,3363560,8774,7,
8744,19,8745,442000,8749,3364004,8864,9,
8840,25,8843,962000,8844,3364264,8972,6,
8947,10,8948,858000,8949,3364760,9060,14,
9041,30,9042,1066000,9043,3363480,9170,7,
9143,12,9144,442000,9147,3363728,9271,7,
9243,21,9245,546000,9249,3362348,9366,8,
9342,22,9344,858000,9346,3362596,9466,10,
9443,17,9444,858000,9446,3363256,9561,12,
9543,25,9544,1378000,9545,3361780,9678,6,
9649,12,9650,546000,9652,3362028,9772,7,
9745,21,9746,650000,9748,3361784,9870,10,
9846,27,9849,858000,9851,3362404,9979,6,
9952,15,9954,442000,9956,3362900,10069,13,
10047,28,10048,858000,10050,3361372,10181,7,
10150,23,10151,442000,10153,3361372,10269,11,
10248,30,10249,962000,10251,3362116,10380,8,
10353,16,10354,546000,10359,3362776,10476,5,
10451,15,10452,858000,10453,3363024,10571,14,
10550,26,10550,1378000,10552,3361844,10684,10,
10653,19,10654,650000,10656,3362340,10774,13,
10751,30,10752,1170000,10754,3363304,10881,6,
10853,12,10855,442000,10857,3363428,10989,7,
10953,20,10955,546000,10958,3363676,11084,11,
11055,25,11056,442000,11058,3361460,11190,7,
11155,21,11157,442000,11160,3361708,11287,7,
11256,25,11257,442000,11260,3362452,11391,8,
11358,25,11359,858000,11361,3362948,11491,8,
11460,20,11461,546000,11463,3363444,11578,15,
11556,32,11557,1274000,11558,3362068,11679,9,
11657,18,11657,1170000,11659,3362432,11791,7,
11759,19,11761,546000,11764,3362648,11883,8,
11858,18,11859,858000,11861,3363148,11995,8,
11964,15,11966,442000,11969,3363644,12082,7,
12059,19,12060,1170000,12061,3361868,12203,6,
12162,10,12163,442000,12165,3362116,12292,7,
12261,17,12261,1066000,12263,3362364,12394,7,
12363,20,12364,442000,12366,3363108,12497,9,
12463,23,12465,442000,12467,3363604,12586,12,
12562,28,12563,1274000,12564,3361780,12694,6,
12663,12,12663,1066000,12665,3361780,12801,8,
12765,22,12766,442000,12768,3362116,12896,6,
12865,26,12866,546000,12868,3362528,13006,8,
12966,24,12968,442000,12969,3362776,13090,13,
13065,26,13066,1170000,13069,3361992,13202,6,
13168,15,13169,442000,13171,3362240,13292,7,
13267,20,13268,858000,13269,3362488,13400,6,
13370,15,13371,442000,13373,3362984,13510,8,
13469,18,13470,442000,13472,3363480,13593,18,
13569,36,13569,1274000,13571,3361904,13695,9,
13669,15,13669,1274000,13671,3361904,13805,5,
13772,9,13773,442000,13775,3362016,13891,8,
13870,21,13871,962000,13873,3362636,13996,9,
